Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,75.200,55.020,10.917,34.996,43.983,55.844,74.489,125.653,338.490,385.875,0.018
5,77.400,52.505,9.121,30.636,39.308,51.641,84.063,145.176,268.442,381.678,0.019
10,65.200,75.955,9.627,35.784,48.088,68.391,183.130,308.705,412.488,542.105,0.013
15,50.600,95.160,15.975,45.025,63.359,83.897,140.667,420.498,520.180,566.097,0.011
20,45.400,130.841,9.929,43.993,63.849,86.852,503.222,584.325,648.985,697.723,0.008
25,58.200,84.962,11.319,37.406,51.577,74.326,214.205,355.122,507.458,563.908,0.012
30,57.800,88.219,8.683,29.320,41.802,62.998,324.463,383.532,456.468,490.140,0.011
35,60.400,71.736,10.412,33.010,43.432,60.834,112.386,336.369,408.366,453.001,0.014
40,70.800,68.391,10.267,31.955,43.998,64.973,159.621,256.157,337.905,399.005,0.015
45,66.600,72.875,9.033,31.684,43.682,66.550,154.909,303.648,414.017,464.052,0.014
50,62.600,77.912,10.675,31.904,43.230,61.192,258.868,337.341,441.290,475.640,0.013
55,63.800,69.409,9.414,26.973,37.678,53.203,219.502,333.442,401.289,457.076,0.014
