Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,70.600,66.359,14.834,38.090,51.726,62.216,106.747,218.401,329.240,346.400,0.015
5,76.000,58.125,12.381,34.023,44.637,55.978,106.582,174.457,349.186,385.193,0.017
10,72.800,68.482,10.201,36.417,49.380,64.836,108.141,249.018,368.243,554.245,0.015
15,49.200,107.849,18.588,49.000,66.116,91.118,319.629,440.943,518.868,538.386,0.009
20,40.400,125.888,10.879,47.729,66.277,87.271,496.482,582.693,630.475,662.727,0.008
25,57.000,84.874,12.862,40.997,54.534,79.570,138.479,347.299,489.406,576.793,0.012
30,63.400,88.432,10.660,33.171,47.111,66.240,319.823,377.435,448.482,500.873,0.011
35,65.800,74.636,11.750,33.816,46.644,65.529,133.283,340.272,381.176,469.748,0.013
40,69.600,71.997,12.322,35.967,48.956,67.178,158.210,277.224,365.618,411.078,0.014
45,68.400,77.032,12.179,33.509,45.179,68.901,165.668,332.388,452.634,468.251,0.013
50,62.800,80.028,11.712,36.358,46.832,64.463,214.773,357.254,458.546,466.271,0.012
55,67.600,79.345,10.025,29.865,41.041,58.573,268.937,359.795,444.865,502.835,0.013
