Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,371.800,3.996,2.684,3.321,3.578,3.908,4.418,5.129,14.858,48.222,0.250
5,384.200,3.460,2.528,3.134,3.343,3.605,3.916,4.160,4.787,17.512,0.289
10,329.600,3.458,2.510,3.044,3.251,3.525,3.845,4.092,4.972,41.765,0.289
15,255.000,3.312,2.489,3.027,3.242,3.494,3.784,3.979,4.447,11.978,0.302
20,219.000,3.372,2.500,3.057,3.248,3.499,3.774,4.005,4.398,23.662,0.297
25,275.200,3.572,2.580,3.208,3.444,3.776,4.085,4.319,5.666,23.346,0.280
30,307.800,3.411,2.456,3.109,3.340,3.610,3.911,4.116,4.894,19.455,0.293
35,298.200,3.261,2.427,2.980,3.181,3.404,3.646,3.824,4.470,41.402,0.307
40,365.800,3.298,2.501,3.034,3.232,3.475,3.744,3.925,4.353,20.717,0.303
45,353.400,3.307,2.314,3.046,3.245,3.493,3.758,3.949,4.565,20.839,0.302
50,335.200,3.331,2.374,3.000,3.201,3.444,3.736,3.932,7.279,16.520,0.300
55,333.200,3.242,2.408,2.981,3.169,3.416,3.691,3.883,4.467,14.052,0.308
