Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,108.000,36.673,2.822,19.623,33.640,51.817,65.819,77.215,94.601,128.131,0.027
5,116.800,30.822,2.037,14.009,28.624,45.253,57.196,65.859,76.328,81.908,0.032
10,97.800,30.584,3.548,10.299,26.672,44.011,64.080,71.482,89.819,103.582,0.033
15,84.400,27.446,1.878,9.645,20.544,37.828,59.839,79.825,94.020,109.247,0.036
20,63.000,25.031,3.598,7.588,18.677,33.222,60.361,75.268,96.542,107.331,0.040
25,80.000,29.417,2.388,10.194,21.721,39.622,65.376,86.051,105.441,137.979,0.034
30,91.600,21.661,2.260,8.343,15.823,28.788,47.746,59.555,80.440,99.781,0.046
35,92.000,19.042,3.530,7.538,13.654,22.656,39.870,55.558,90.381,131.278,0.053
40,104.400,21.511,2.425,8.248,15.700,26.458,49.238,61.156,90.828,95.096,0.046
45,110.400,20.356,2.366,8.364,14.854,24.930,41.704,60.492,86.907,114.426,0.049
50,95.200,17.627,3.850,7.556,12.095,21.597,38.913,50.716,74.044,83.605,0.057
55,105.600,17.535,1.973,7.805,13.346,21.252,33.114,48.980,90.161,111.949,0.057
