Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,739.200,27.411,2.684,3.576,6.338,43.869,60.190,75.297,212.535,428.604,0.036
5,773.600,25.715,2.037,3.345,5.603,38.986,55.409,67.714,214.803,404.281,0.039
10,662.400,30.683,2.510,3.253,5.103,43.570,66.160,86.719,318.312,556.460,0.033
15,513.600,38.699,1.878,3.244,4.715,53.383,82.264,109.730,449.263,604.247,0.026
20,438.400,45.831,2.500,3.249,4.487,52.360,81.375,108.987,601.724,697.723,0.022
25,554.200,35.518,2.388,3.449,5.646,47.659,74.326,99.950,404.201,576.793,0.028
30,612.400,33.436,2.260,3.335,4.743,36.867,61.283,85.062,397.895,500.873,0.030
35,616.600,31.473,2.427,3.191,5.973,39.738,62.922,83.619,361.749,537.733,0.032
40,713.800,28.171,2.425,3.220,4.084,39.112,62.756,82.312,307.747,415.155,0.035
45,705.400,28.297,2.314,3.242,4.565,35.985,60.457,88.628,354.872,468.251,0.035
50,660.200,30.301,2.374,3.195,4.487,37.413,59.036,85.823,384.523,475.640,0.033
55,673.000,28.961,1.973,3.176,4.763,31.766,52.416,81.351,371.481,502.835,0.035
