Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
4,NewReservation,1745424878.762163,148925,3,1
2,FindFlights,1745424878.762167,314810,11,1
4,NewReservation,1745424878.762244,167337,1,1
3,FindOpenSeats,1745424878.762313,21457,0,1
1,DeleteReservation,1745424878.762370,1461,16,1
3,FindOpenSeats,1745424878.762465,20302,17,1
3,FindOpenSeats,1745424878.762534,23194,9,1
2,FindFlights,1745424878.762590,155766,2,1
1,DeleteReservation,1745424878.762648,1171,15,1
2,FindFlights,1745424878.762703,187585,8,1
6,UpdateReservation,1745424878.762798,2498,14,1
6,UpdateReservation,1745424878.762858,2167,6,1
2,FindFlights,1745424878.762913,155573,5,1
5,UpdateCustomer,1745424878.762978,193869,7,1
4,NewReservation,1745424878.763092,166540,10,1
4,NewReservation,1745424878.763242,212975,19,1
4,NewReservation,1745424878.763309,212385,4,1
4,NewReservation,1745424878.763402,212828,18,1
2,FindFlights,1745424878.763452,313528,13,1
2,FindFlights,1745424878.764225,154021,15,1
6,UpdateReservation,1745424878.764260,2336,16,1
4,NewReservation,1745424878.765117,210615,6,1
3,FindOpenSeats,1745424878.765353,20599,14,1
2,FindFlights,1745424878.766693,212461,16,1
2,FindFlights,1745424878.782833,222424,17,1
3,FindOpenSeats,1745424878.783814,12135,0,1
3,FindOpenSeats,1745424878.785769,12909,9,1
3,FindOpenSeats,1745424878.785986,11976,14,1
3,FindOpenSeats,1745424878.795997,11836,0,1
5,UpdateCustomer,1745424878.797992,158922,14,1
2,FindFlights,1745424878.798721,294733,9,1
1,DeleteReservation,1745424878.807963,630,0,1
4,NewReservation,1745424878.808630,167106,0,1
3,FindOpenSeats,1745424878.911152,10632,3,1
3,FindOpenSeats,1745424878.918287,9655,15,1
3,FindOpenSeats,1745424878.918387,10053,2,1
5,UpdateCustomer,1745424878.918524,82679,5,1
3,FindOpenSeats,1745424878.921814,10541,3,1
4,NewReservation,1745424878.927976,137847,15,1
3,FindOpenSeats,1745424878.928470,9601,2,1
1,DeleteReservation,1745424878.929621,636,1,1
6,UpdateReservation,1745424878.929699,163516,10,1
3,FindOpenSeats,1745424878.930296,10482,1,1
4,NewReservation,1745424878.932384,195052,3,1
3,FindOpenSeats,1745424878.938109,10111,2,1
6,UpdateReservation,1745424878.940808,186282,1,1
3,FindOpenSeats,1745424878.948251,10547,2,1
4,NewReservation,1745424878.950317,143039,8,1
3,FindOpenSeats,1745424878.956881,10119,7,1
1,DeleteReservation,1745424878.956955,645,14,1
3,FindOpenSeats,1745424878.957637,9907,14,1
3,FindOpenSeats,1745424878.958825,9686,2,1
1,DeleteReservation,1745424878.967041,611,7,1
3,FindOpenSeats,1745424878.967606,12458,14,1
2,FindFlights,1745424878.967690,155252,7,1
4,NewReservation,1745424878.968542,158962,2,1
3,FindOpenSeats,1745424878.975719,13182,12,1
3,FindOpenSeats,1745424878.975728,13173,4,1
4,NewReservation,1745424878.975779,224352,6,1
5,UpdateCustomer,1745424878.975779,151640,0,1
1,DeleteReservation,1745424878.976246,730,19,1
6,UpdateReservation,1745424878.976275,659,18,1
5,UpdateCustomer,1745424878.977033,150415,19,1
4,NewReservation,1745424878.977039,214514,18,1
3,FindOpenSeats,1745424878.979200,13366,16,1
3,FindOpenSeats,1745424878.980095,12559,14,1
4,NewReservation,1745424878.988947,202554,4,1
5,UpdateCustomer,1745424878.988947,138411,12,1
4,NewReservation,1745424878.992644,153762,16,1
5,UpdateCustomer,1745424878.992693,134742,14,1
3,FindOpenSeats,1745424879.001256,11041,5,1
3,FindOpenSeats,1745424879.005302,11044,17,1
2,FindFlights,1745424879.012355,82977,5,1
4,NewReservation,1745424879.016395,130233,17,1
4,NewReservation,1745424879.065861,206549,15,1
1,DeleteReservation,1745424879.077013,701,11,1
5,UpdateCustomer,1745424879.077032,114728,13,1
4,NewReservation,1745424879.077747,122550,11,1
4,NewReservation,1745424879.093264,125274,10,1
4,NewReservation,1745424879.093413,224465,8,1
3,FindOpenSeats,1745424879.093503,10862,9,1
3,FindOpenSeats,1745424879.095364,9900,5,1
4,NewReservation,1745424879.104411,139903,9,1
3,FindOpenSeats,1745424879.105295,10726,5,1
3,FindOpenSeats,1745424879.116063,9602,5,1
1,DeleteReservation,1745424879.122977,588,7,1
3,FindOpenSeats,1745424879.123605,11248,7,1
3,FindOpenSeats,1745424879.125702,9681,5,1
6,UpdateReservation,1745424879.127143,879,1,1
5,UpdateCustomer,1745424879.127399,144773,12,1
6,UpdateReservation,1745424879.127480,710,0,1
3,FindOpenSeats,1745424879.127494,12275,14,1
4,NewReservation,1745424879.127494,144446,19,1
3,FindOpenSeats,1745424879.127516,12905,3,1
4,NewReservation,1745424879.127554,206800,2,1
3,FindOpenSeats,1745424879.128056,11062,1,1
5,UpdateCustomer,1745424879.128232,143614,0,1
3,FindOpenSeats,1745424879.134899,10693,7,1
3,FindOpenSeats,1745424879.135423,10037,5,1
3,FindOpenSeats,1745424879.139152,8643,1,1
5,UpdateCustomer,1745424879.139802,132408,14,1
4,NewReservation,1745424879.140454,193853,3,1
4,NewReservation,1745424879.145505,126866,5,1
2,FindFlights,1745424879.145632,87464,7,1
4,NewReservation,1745424879.146450,242362,16,1
6,UpdateReservation,1745424879.146662,831,17,1
4,NewReservation,1745424879.147528,249526,17,1
3,FindOpenSeats,1745424879.147837,11311,1,1
4,NewReservation,1745424879.159193,122849,1,1
4,NewReservation,1745424879.191579,232805,4,1
6,UpdateReservation,1745424879.191597,748,18,1
3,FindOpenSeats,1745424879.191801,10267,13,1
4,NewReservation,1745424879.192388,196924,18,1
6,UpdateReservation,1745424879.200189,188194,6,1
3,FindOpenSeats,1745424879.200340,9153,11,1
3,FindOpenSeats,1745424879.202102,8982,13,1
3,FindOpenSeats,1745424879.209529,9572,11,1
5,UpdateCustomer,1745424879.211115,106710,13,1
3,FindOpenSeats,1745424879.218585,11820,10,1
5,UpdateCustomer,1745424879.219148,115370,11,1
4,NewReservation,1745424879.230455,222985,10,1
4,NewReservation,1745424879.233142,137501,7,1
6,UpdateReservation,1745424879.244371,661,9,1
4,NewReservation,1745424879.245108,208424,9,1
3,FindOpenSeats,1745424879.271970,10405,0,1
3,FindOpenSeats,1745424879.271984,11091,19,1
2,FindFlights,1745424879.272247,386709,12,1
4,NewReservation,1745424879.272398,188799,5,1
5,UpdateCustomer,1745424879.272451,116713,15,1
4,NewReservation,1745424879.272738,124593,14,1
4,NewReservation,1745424879.282111,215382,1,1
3,FindOpenSeats,1745424879.282408,12877,0,1
5,UpdateCustomer,1745424879.283106,106145,19,1
3,FindOpenSeats,1745424879.295346,9183,0,1
3,FindOpenSeats,1745424879.304579,10446,0,1
5,UpdateCustomer,1745424879.315069,145814,0,1
1,DeleteReservation,1745424879.317860,690,13,1
5,UpdateCustomer,1745424879.317926,71597,8,1
6,UpdateReservation,1745424879.318582,593,13,1
6,UpdateReservation,1745424879.319213,621,13,1
6,UpdateReservation,1745424879.319865,490,13,1
4,NewReservation,1745424879.320395,133201,13,1
3,FindOpenSeats,1745424879.334348,11171,3,1
4,NewReservation,1745424879.334394,219613,2,1
1,DeleteReservation,1745424879.334560,578,11,1
4,NewReservation,1745424879.335177,125623,11,1
3,FindOpenSeats,1745424879.345561,10575,3,1
3,FindOpenSeats,1745424879.356225,9827,3,1
6,UpdateReservation,1745424879.366134,87115,3,1
5,UpdateCustomer,1745424879.370695,119322,7,1
6,UpdateReservation,1745424879.388433,976,6,1
6,UpdateReservation,1745424879.388854,858,16,1
2,FindFlights,1745424879.389240,239720,15,1
4,NewReservation,1745424879.389303,135966,19,1
3,FindOpenSeats,1745424879.389355,10619,18,1
6,UpdateReservation,1745424879.389453,638,6,1
1,DeleteReservation,1745424879.389567,163790,8,1
4,NewReservation,1745424879.389745,234683,16,1
5,UpdateCustomer,1745424879.390134,99960,6,1
5,UpdateCustomer,1745424879.397111,128130,17,1
3,FindOpenSeats,1745424879.397375,9889,14,1
3,FindOpenSeats,1745424879.400013,10631,18,1
3,FindOpenSeats,1745424879.407323,10168,14,1
4,NewReservation,1745424879.410677,232440,18,1
3,FindOpenSeats,1745424879.417528,10722,14,1
6,UpdateReservation,1745424879.424433,99771,4,1
5,UpdateCustomer,1745424879.428290,124814,14,1
6,UpdateReservation,1745424879.453318,100009,3,1
6,UpdateReservation,1745424879.453483,99882,10,1
1,DeleteReservation,1745424879.453569,229157,9,1
4,NewReservation,1745424879.453630,229387,13,1
5,UpdateCustomer,1745424879.460851,92274,11,1
6,UpdateReservation,1745424879.460926,882,0,1
5,UpdateCustomer,1745424879.461244,127912,5,1
3,FindOpenSeats,1745424879.461854,9689,0,1
3,FindOpenSeats,1745424879.471587,12793,0,1
3,FindOpenSeats,1745424879.484418,11475,0,1
2,FindFlights,1745424879.490057,152416,7,1
3,FindOpenSeats,1745424879.490138,11068,6,1
3,FindOpenSeats,1745424879.495927,11555,0,1
4,NewReservation,1745424879.497535,185151,1,1
3,FindOpenSeats,1745424879.501249,11449,6,1
1,DeleteReservation,1745424879.507523,135562,0,1
1,DeleteReservation,1745424879.512730,170779,6,1
5,UpdateCustomer,1745424879.524248,158293,4,1
1,DeleteReservation,1745424879.525283,157385,17,1
3,FindOpenSeats,1745424879.525302,9700,19,1
5,UpdateCustomer,1745424879.535042,147437,19,1
1,DeleteReservation,1745424879.553162,10047,14,1
4,NewReservation,1745424879.553162,130509,11,1
4,NewReservation,1745424879.553394,130302,3,1
3,FindOpenSeats,1745424879.553403,13381,8,1
4,NewReservation,1745424879.553418,129759,10,1
6,UpdateReservation,1745424879.554047,88949,2,1
6,UpdateReservation,1745424879.563262,706,14,1
4,NewReservation,1745424879.564001,118574,14,1
6,UpdateReservation,1745424879.566830,105008,8,1
4,NewReservation,1745424879.589258,138718,5,1
3,FindOpenSeats,1745424879.624484,9354,16,1
2,FindFlights,1745424879.628994,40810,15,1
4,NewReservation,1745424879.633871,219824,16,1
5,UpdateCustomer,1745424879.642510,111563,7,1
6,UpdateReservation,1745424879.643038,111161,2,1
4,NewReservation,1745424879.643126,238815,0,1
3,FindOpenSeats,1745424879.643198,10128,18,1
3,FindOpenSeats,1745424879.653359,10585,18,1
3,FindOpenSeats,1745424879.658989,9456,12,1
3,FindOpenSeats,1745424879.664061,9431,18,1
3,FindOpenSeats,1745424879.668476,9094,12,1
4,NewReservation,1745424879.669848,113206,15,1
4,NewReservation,1745424879.671879,111035,8,1
3,FindOpenSeats,1745424879.673524,9692,18,1
6,UpdateReservation,1745424879.677602,104117,12,1
1,DeleteReservation,1745424879.682573,118687,19,1
2,FindFlights,1745424879.682582,316435,4,1
4,NewReservation,1745424879.682730,225688,14,1
5,UpdateCustomer,1745424879.682746,116730,17,1
2,FindFlights,1745424879.682747,329276,1,1
6,UpdateReservation,1745424879.682769,728,9,1
3,FindOpenSeats,1745424879.683092,11127,13,1
4,NewReservation,1745424879.683217,225205,10,1
4,NewReservation,1745424879.683251,197282,18,1
4,NewReservation,1745424879.683580,233471,9,1
3,FindOpenSeats,1745424879.683588,11445,6,1
3,FindOpenSeats,1745424879.683701,9791,11,1
