Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,20.600,174.636,18.890,78.046,155.766,247.222,329.276,386.709,418.189,448.811,0.006
5,19.600,177.125,22.079,57.483,148.708,276.551,343.245,392.150,471.306,471.306,0.006
10,19.400,154.024,9.839,56.537,128.683,222.929,321.157,417.849,471.080,471.080,0.006
15,22.800,171.785,17.850,57.408,142.108,267.354,333.717,380.675,448.079,507.384,0.006
20,25.000,170.663,16.114,53.481,141.146,264.432,349.125,381.209,420.266,469.993,0.006
25,23.200,182.770,12.235,59.974,152.040,270.987,368.345,424.019,459.513,542.216,0.005
30,21.000,177.645,13.480,60.229,159.348,265.694,334.781,363.727,457.455,457.506,0.006
35,23.400,184.510,15.389,77.007,173.295,250.480,340.647,401.366,489.707,512.704,0.005
40,25.000,168.531,19.194,65.114,140.858,253.410,345.403,372.429,422.437,474.958,0.006
45,22.800,191.681,16.310,74.153,172.957,283.565,373.985,405.934,434.557,507.180,0.005
50,21.600,176.470,15.356,71.238,157.041,265.323,344.732,380.146,411.865,499.013,0.006
55,23.400,183.030,17.070,68.553,152.914,268.876,362.879,409.528,484.920,513.893,0.005
