Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,86.800,10.578,7.365,9.602,10.383,11.127,12.275,12.947,20.599,27.859,0.095
5,72.200,8.602,7.132,7.987,8.458,8.974,9.594,10.087,12.132,18.454,0.116
10,75.600,8.430,6.915,7.864,8.279,8.842,9.418,9.847,10.985,12.012,0.119
15,85.000,8.605,6.950,8.003,8.416,8.992,9.663,10.368,12.140,20.184,0.116
20,78.000,9.237,6.841,7.852,8.249,9.023,9.951,11.155,30.434,121.260,0.108
25,79.600,8.307,6.930,7.793,8.163,8.731,9.333,9.672,10.624,11.855,0.120
30,88.800,8.566,6.826,8.011,8.404,8.934,9.478,10.119,11.462,18.245,0.117
35,94.800,9.669,6.826,7.740,8.239,8.936,10.758,19.964,37.038,50.499,0.103
40,79.600,8.710,6.757,7.789,8.361,9.376,10.370,11.064,12.990,16.031,0.115
45,73.600,8.139,6.610,7.599,8.041,8.499,9.070,9.485,10.627,12.555,0.123
50,81.600,9.264,6.841,7.943,8.379,8.847,9.420,10.034,12.680,185.759,0.108
55,77.000,8.732,7.238,8.023,8.494,9.025,9.685,10.338,12.172,45.954,0.115
