Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,237,237.000,490,10119,87464,91210,155252,219824,233471,316435,386709
1,263,263.000,520,10341,16293,74125,125322,186800,217023,389727,418189
2,226,226.000,585,10620,103584,88072,135468,200988,227232,279234,347221
3,234,234.000,508,10024,73887,84591,136070,210013,229055,366565,448811
4,218,218.000,535,9499,100435,94497,145696,200294,223688,257167,389766
5,223,223.000,708,8713,91753,87490,129313,203551,234968,308205,362864
6,202,202.000,448,8324,96935,100793,179294,228751,260250,294280,349504
7,176,176.000,491,8817,111620,111821,156214,254670,308303,391164,471306
8,219,219.000,618,8908,91734,93520,145656,214288,243618,319937,463450
9,227,227.000,520,8699,99895,91787,130663,215378,232044,343245,410462
10,197,197.000,3773,8521,102495,95196,139678,208258,231663,259072,440464
11,217,217.000,3978,8921,101548,94154,136068,211640,253321,290066,347432
12,227,227.000,4117,8212,89097,87214,130711,204975,215849,417849,457729
13,261,261.000,4079,8423,80153,78174,123919,188526,213975,268527,301000
14,211,211.000,3732,8636,98598,93794,135564,203904,227045,315844,471080
15,218,218.000,482,8671,97178,88682,133078,211111,241815,311724,401139
16,241,241.000,534,8966,98251,84154,127058,183608,220508,321030,370933
17,252,252.000,754,8401,89592,79812,124700,163366,219353,252108,448079
18,220,220.000,4128,8528,101218,93532,133089,207706,264379,373951,394168
19,256,256.000,4630,8411,83957,76405,122152,136906,212071,335718,507384
20,231,231.000,555,8680,88195,87746,132632,205151,240053,377513,420266
21,224,224.000,580,8170,98941,85362,127914,198395,217636,318728,358046
22,237,237.000,572,8646,90933,85089,126707,152298,233062,381187,402713
23,230,230.000,4411,8284,97815,89131,133390,162617,241215,387174,469993
24,216,216.000,3893,9124,102808,91037,138366,163339,229898,303513,319726
25,204,204.000,4136,9152,98093,96765,129160,218422,270987,425330,542216
26,203,203.000,4541,8456,110783,99677,135840,213571,241449,363267,436190
27,215,215.000,4433,8274,107102,98827,135862,205213,304049,420779,422647
28,249,249.000,4432,8263,89694,73888,117822,143069,194292,277029,396032
29,257,257.000,3944,8324,82157,78135,121906,162209,229946,407974,459513
30,224,224.000,4604,8570,109160,94581,139785,172571,238793,375837,457506
31,242,242.000,4359,8419,84006,76659,124495,144600,208638,285329,322410
32,277,277.000,4068,8461,85162,73646,118627,136463,199378,243378,273521
33,228,228.000,3973,8800,97764,88746,127224,201166,265694,363727,440854
34,228,228.000,5011,8936,98495,87443,132376,177905,241706,289420,351536
35,262,262.000,5197,8784,44565,78788,126390,191112,239055,301180,512704
36,221,221.000,4229,8691,96393,87413,128724,168238,245647,365969,430583
37,237,237.000,4321,8335,93007,85802,126157,193540,230118,399365,409235
38,248,248.000,6568,8294,93249,82701,125410,179927,218268,305314,340647
39,230,230.000,5725,8178,89898,83547,131781,170893,238882,302346,489707
40,228,228.000,3960,10232,97539,88325,128588,161206,228490,304224,345403
41,238,238.000,4839,9741,96736,83501,126469,163515,223540,357885,378321
42,229,229.000,4473,8264,98097,87094,124644,162240,213103,353556,390308
43,231,231.000,5720,8071,97619,84747,124296,193422,233531,331571,399218
44,219,219.000,6241,8390,102693,93663,125444,188235,233098,420387,474958
45,228,228.000,5119,8276,96689,85832,132306,162263,218823,372488,431484
46,225,225.000,3862,8489,105216,93863,128154,203888,234458,328131,383521
47,219,219.000,6177,8169,99459,88485,128042,162469,237444,373954,405934
48,212,212.000,3888,8335,105535,97464,137677,198847,260365,434294,507180
49,206,206.000,7247,8909,103952,94870,132205,185566,235447,315924,373985
50,238,238.000,4497,8480,89224,80653,125465,151770,218244,296181,360511
51,221,221.000,5996,8980,101993,93024,139147,190143,241446,309793,395308
52,261,261.000,4373,8341,89185,78074,120322,154825,223338,312218,392247
53,211,211.000,5474,8660,103741,93259,134179,190151,244570,383584,499013
54,225,225.000,5530,8957,98342,87376,125976,145131,221411,263118,344732
55,236,236.000,3866,8680,99497,89105,126186,173224,228126,454189,513893
56,188,188.000,4343,9623,101625,99784,132567,215301,241193,368433,413378
57,255,255.000,4374,8575,88888,80611,128674,144143,233725,361121,409528
58,225,225.000,4554,8661,98575,88744,127173,160196,234512,360281,387703
59,203,203.000,4113,9196,98870,81533,123008,147283,213278,245690,362879
