Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,ReadRecord,1744845213.273578,6789,3,1
4,UpdateRecord,1744845213.273580,10347,8,1
1,ReadRecord,1744845213.273580,6851,12,1
3,ScanRecord,1744845213.273581,17296,17,1
1,ReadRecord,1744845213.273585,6981,18,1
1,ReadRecord,1744845213.273644,7064,2,1
1,ReadRecord,1744845213.273687,6685,7,1
3,ScanRecord,1744845213.273702,10899,5,1
3,ScanRecord,1744845213.273715,17195,11,1
1,ReadRecord,1744845213.273727,6725,6,1
4,UpdateRecord,1744845213.273730,10209,16,1
1,ReadRecord,1744845213.273832,6876,14,1
1,ReadRecord,1744845213.273850,6518,0,1
4,UpdateRecord,1744845213.273935,23943,9,1
1,ReadRecord,1744845213.273993,6377,1,1
1,ReadRecord,1744845213.274021,6464,10,1
1,ReadRecord,1744845213.274085,6285,15,1
1,ReadRecord,1744845213.274181,6228,4,1
6,ReadModifyWriteRecord,1744845213.274298,23508,13,1
1,ReadRecord,1744845213.274337,6114,19,1
1,ReadRecord,1744845213.280563,2796,3,1
1,ReadRecord,1744845213.280566,3301,10,1
4,UpdateRecord,1744845213.280576,62944,19,1
4,UpdateRecord,1744845213.280586,62923,18,1
6,ReadModifyWriteRecord,1744845213.280623,62915,6,1
1,ReadRecord,1744845213.280733,3205,14,1
3,ScanRecord,1744845213.280733,26228,2,1
5,DeleteRecord,1744845213.280755,17051,12,1
6,ReadModifyWriteRecord,1744845213.280768,107675,15,1
3,ScanRecord,1744845213.280801,37027,1,1
4,UpdateRecord,1744845213.280808,17000,4,1
1,ReadRecord,1744845213.280832,3221,7,1
3,ScanRecord,1744845213.280839,38959,0,1
1,ReadRecord,1744845213.283380,18395,3,1
1,ReadRecord,1744845213.283897,2973,10,1
6,ReadModifyWriteRecord,1744845213.283950,104439,8,1
1,ReadRecord,1744845213.283965,2835,16,1
1,ReadRecord,1744845213.283965,3399,14,1
1,ReadRecord,1744845213.284073,2755,7,1
5,DeleteRecord,1744845213.284632,58947,5,1
6,ReadModifyWriteRecord,1744845213.286823,129857,16,1
3,ScanRecord,1744845213.286847,79914,7,1
1,ReadRecord,1744845213.286889,2942,10,1
4,UpdateRecord,1744845213.287392,56109,14,1
1,ReadRecord,1744845213.289858,2827,10,1
2,InsertRecord,1744845213.290899,52502,17,1
5,DeleteRecord,1744845213.290935,61121,11,1
4,UpdateRecord,1744845213.292706,59523,10,1
1,ReadRecord,1744845213.297838,9077,12,1
1,ReadRecord,1744845213.297842,9115,13,1
4,UpdateRecord,1744845213.297863,54341,4,1
1,ReadRecord,1744845213.297925,48072,9,1
2,InsertRecord,1744845213.302662,49724,3,1
4,UpdateRecord,1744845213.307154,152863,13,1
1,ReadRecord,1744845213.307155,5620,2,1
5,DeleteRecord,1744845213.307174,99537,12,1
4,UpdateRecord,1744845213.312986,39300,2,1
1,ReadRecord,1744845213.317878,3205,1,1
1,ReadRecord,1744845213.319849,3127,0,1
1,ReadRecord,1744845213.321104,3246,1,1
5,DeleteRecord,1744845213.322996,182078,0,1
4,UpdateRecord,1744845213.324378,144891,1,1
3,ScanRecord,1744845213.343552,20988,14,1
2,InsertRecord,1744845213.343562,44829,6,1
3,ScanRecord,1744845213.343582,31701,18,1
1,ReadRecord,1744845213.343588,3612,19,1
1,ReadRecord,1744845213.343614,10543,5,1
6,ReadModifyWriteRecord,1744845213.343666,44619,17,1
1,ReadRecord,1744845213.346047,2684,9,1
1,ReadRecord,1744845213.347252,3203,19,1
1,ReadRecord,1744845213.348760,3141,9,1
5,DeleteRecord,1744845213.350474,56111,19,1
5,DeleteRecord,1744845213.351932,54978,9,1
4,UpdateRecord,1744845213.352080,162154,11,1
5,DeleteRecord,1744845213.352252,54290,10,1
6,ReadModifyWriteRecord,1744845213.352297,107860,4,1
4,UpdateRecord,1744845213.352332,54374,2,1
3,ScanRecord,1744845213.352405,43365,3,1
1,ReadRecord,1744845213.354176,3572,5,1
1,ReadRecord,1744845213.357770,33016,5,1
1,ReadRecord,1744845213.364566,3218,14,1
1,ReadRecord,1744845213.366785,3129,7,1
1,ReadRecord,1744845213.367804,3740,14,1
4,UpdateRecord,1744845213.369941,190116,7,1
4,UpdateRecord,1744845213.371563,35148,14,1
5,DeleteRecord,1744845213.375304,234782,18,1
1,ReadRecord,1744845213.388306,2925,17,1
2,InsertRecord,1744845213.388413,28474,8,1
1,ReadRecord,1744845213.388416,3320,6,1
3,ScanRecord,1744845213.388464,43284,15,1
