Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,71.600,60.209,10.736,32.896,42.862,55.730,134.737,203.870,313.170,357.651,0.017
5,72.800,62.331,9.029,31.906,40.573,50.714,151.637,240.871,386.657,418.069,0.016
10,66.400,66.905,6.764,29.976,40.520,55.492,155.528,287.222,400.875,604.479,0.015
15,71.200,71.563,7.766,30.362,44.635,64.019,217.920,296.721,386.999,437.356,0.014
20,50.200,88.559,10.309,36.368,51.401,74.479,220.878,370.461,580.267,645.861,0.011
25,56.200,97.162,6.330,36.010,49.350,73.168,284.310,459.894,720.995,751.784,0.010
30,58.000,84.889,10.335,42.904,59.728,82.122,185.610,271.884,468.399,565.039,0.012
35,77.800,70.047,8.724,32.131,45.065,63.861,136.655,289.701,418.533,438.785,0.014
40,65.200,73.298,6.391,29.891,42.890,62.821,114.125,303.312,536.539,1070.019,0.014
45,67.400,78.284,8.595,29.498,40.088,56.999,259.975,375.000,457.546,530.745,0.013
50,65.600,77.777,7.888,28.741,39.328,60.256,278.334,358.608,447.401,492.548,0.013
55,77.600,71.412,8.442,30.662,41.232,60.737,203.365,301.482,371.018,442.903,0.014
