Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,38.200,43.024,13.393,33.212,43.781,52.502,57.900,62.534,69.040,77.162,0.023
5,32.000,38.395,9.388,29.156,40.439,46.900,54.389,57.249,64.326,67.690,0.026
10,34.400,42.612,10.178,31.310,42.214,51.521,61.486,64.764,101.842,106.192,0.023
15,34.600,49.484,10.580,37.010,50.908,58.939,71.495,78.446,85.620,91.034,0.020
20,30.800,57.788,18.508,39.597,57.940,72.919,84.985,90.530,115.937,120.257,0.017
25,27.600,57.979,9.290,45.681,56.277,72.520,81.007,85.618,93.670,94.304,0.017
30,28.000,63.244,23.277,49.954,62.715,76.449,85.794,98.823,117.539,138.164,0.016
35,33.000,48.389,9.673,34.738,47.590,61.533,73.674,77.420,102.287,102.556,0.021
40,33.000,49.056,8.280,31.974,46.349,57.160,72.917,78.366,102.198,557.522,0.020
45,38.000,42.657,8.199,30.510,40.474,53.287,67.368,75.533,86.300,104.461,0.023
50,41.200,43.954,9.951,31.922,39.623,55.250,69.069,74.489,88.190,91.339,0.023
55,34.600,45.817,7.184,33.514,44.976,58.818,67.341,74.203,85.062,97.667,0.022
