Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,76.800,61.863,7.924,35.297,45.734,57.745,107.860,200.203,306.091,357.947,0.016
5,74.400,67.082,9.683,33.738,44.276,56.343,166.296,248.272,403.000,481.062,0.015
10,65.000,71.727,7.786,30.887,42.193,55.611,150.010,339.935,488.732,559.278,0.014
15,69.200,72.590,8.534,35.353,52.842,67.823,177.346,269.955,340.334,443.524,0.014
20,53.800,102.229,8.691,37.485,56.517,82.296,289.930,463.857,619.969,643.903,0.010
25,50.800,110.007,9.263,40.518,57.587,81.866,366.421,444.205,730.779,782.322,0.009
30,55.200,96.705,10.138,42.729,62.489,85.163,266.479,409.991,495.959,532.809,0.010
35,73.000,72.377,8.431,34.792,47.763,63.093,177.714,286.332,377.514,418.701,0.014
40,56.400,109.735,8.289,32.765,44.578,68.076,326.737,401.500,1092.694,1112.535,0.009
45,64.800,86.125,8.606,28.315,41.570,70.547,281.658,366.624,479.068,545.375,0.012
50,64.200,85.519,8.989,29.039,42.924,64.525,307.478,359.848,440.726,507.160,0.012
55,77.200,67.786,10.656,31.813,45.384,63.277,135.086,253.373,360.597,429.436,0.015
