Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,379.600,2.918,1.685,2.412,2.612,2.870,3.203,3.419,10.584,48.072,0.343
5,375.400,2.542,1.703,2.284,2.482,2.699,2.923,3.103,3.746,12.352,0.393
10,359.200,2.571,1.588,2.265,2.465,2.666,2.883,3.080,3.558,53.924,0.389
15,354.200,2.521,1.594,2.222,2.430,2.636,2.871,3.066,4.717,37.567,0.397
20,273.800,2.443,1.651,2.210,2.410,2.623,2.851,3.006,3.314,9.641,0.409
25,288.400,2.595,1.657,2.310,2.522,2.749,2.969,3.160,3.492,28.822,0.385
30,283.600,2.538,1.590,2.293,2.492,2.713,2.928,3.082,3.847,23.772,0.394
35,367.400,2.504,1.588,2.259,2.460,2.677,2.918,3.074,3.538,13.125,0.399
40,296.800,2.475,1.665,2.266,2.445,2.643,2.868,3.031,3.295,11.340,0.404
45,346.800,2.455,1.669,2.225,2.412,2.620,2.850,2.998,3.375,14.371,0.407
50,334.200,2.467,1.473,2.197,2.397,2.590,2.834,3.000,3.578,23.266,0.405
55,374.400,2.460,1.619,2.225,2.423,2.633,2.842,2.993,3.433,15.644,0.406
