Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,118.600,29.216,2.450,11.993,27.428,43.172,55.221,62.269,77.141,99.936,0.034
5,111.400,24.865,2.519,9.387,20.956,37.710,49.915,56.270,65.623,79.815,0.040
10,104.800,21.444,2.686,7.653,15.315,32.316,49.040,55.549,68.113,76.627,0.047
15,108.600,22.118,2.351,6.247,13.896,32.513,54.206,64.529,81.904,88.854,0.045
20,89.000,20.904,1.436,5.507,11.989,25.109,56.888,68.627,100.093,107.905,0.048
25,86.400,20.585,2.790,6.361,12.834,23.049,52.921,67.786,93.203,105.492,0.049
30,88.200,22.080,2.425,5.712,12.105,30.965,58.671,73.801,93.094,115.916,0.045
35,107.400,17.586,1.525,5.667,11.555,21.122,44.531,56.259,66.582,108.593,0.057
40,93.200,15.044,1.492,5.358,9.405,14.545,41.074,51.047,70.943,78.420,0.066
45,104.400,14.249,1.860,5.306,9.089,15.236,33.191,46.294,74.025,102.109,0.070
50,109.200,13.214,1.444,5.251,8.494,14.216,30.366,45.726,62.343,93.147,0.076
55,105.400,13.166,1.531,5.570,8.789,13.866,29.013,44.937,70.990,77.648,0.076
