Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,766.600,26.533,1.685,2.618,5.378,41.416,55.956,70.923,243.869,357.947,0.038
5,744.000,26.614,1.703,2.479,3.518,37.121,52.235,64.265,308.717,481.062,0.038
10,700.800,28.562,1.588,2.455,3.210,35.839,54.762,74.350,364.657,604.479,0.035
15,700.800,28.518,1.594,2.427,3.394,40.093,63.399,81.641,303.881,473.064,0.035
20,556.800,36.271,1.436,2.416,3.583,44.491,75.701,97.496,494.061,682.708,0.028
25,560.400,35.303,1.657,2.511,3.243,44.256,72.147,93.670,477.812,782.322,0.028
30,573.600,34.681,1.590,2.496,3.831,51.777,79.184,100.363,405.954,565.039,0.029
35,726.600,27.701,1.525,2.458,3.322,37.788,60.242,79.145,317.404,438.785,0.036
40,606.200,32.837,1.492,2.451,3.808,36.011,59.961,80.401,418.540,1112.535,0.030
45,691.200,29.007,1.669,2.410,3.315,32.243,56.375,87.568,394.593,563.217,0.034
50,685.200,29.257,1.444,2.404,3.805,33.120,56.741,80.341,386.240,507.160,0.034
55,740.200,26.183,1.531,2.420,3.236,34.670,58.249,79.936,305.239,456.397,0.038
