Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,71.400,57.891,10.369,36.647,46.533,59.279,93.955,143.006,238.250,428.604,0.017
5,83.000,60.269,9.102,32.579,42.446,56.562,93.197,196.664,374.950,404.281,0.017
10,65.600,71.556,10.749,35.840,49.927,66.109,136.045,278.030,382.372,556.460,0.014
15,48.000,101.267,15.392,47.332,65.854,91.219,242.251,410.432,497.923,604.247,0.010
20,45.000,115.562,14.670,44.914,63.263,88.574,422.118,545.139,639.355,654.699,0.009
25,56.400,89.525,11.483,40.981,56.798,76.675,241.015,363.407,515.384,535.968,0.011
30,62.400,86.326,9.994,30.955,44.002,65.935,313.511,376.185,445.228,494.831,0.012
35,64.600,87.860,11.670,35.114,44.681,67.767,301.582,353.012,423.501,537.733,0.011
40,68.200,75.079,8.676,35.496,46.977,69.180,181.825,301.349,361.022,415.155,0.013
45,72.400,66.901,9.645,32.251,43.921,58.939,130.865,275.920,386.646,430.510,0.015
50,69.200,81.912,11.539,31.294,44.100,68.463,244.544,352.627,439.702,459.452,0.012
55,72.000,76.914,8.883,30.411,39.666,56.006,275.001,344.864,454.873,473.873,0.013
