Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,808,808.000,2822,3984,14673,25286,44259,58182,67870,99452,163389
1,785,785.000,2721,3510,4817,25754,45473,62749,75883,126299,185995
2,750,750.000,2754,3610,5107,27271,46032,60734,77211,185173,283462
3,768,768.000,2689,3411,4296,25683,40650,57214,70004,198274,238250
4,585,585.000,2684,3481,6565,35017,41143,62098,123814,342914,428604
5,725,725.000,2037,3400,5644,26754,37082,55379,65859,223485,307362
6,891,891.000,2528,3277,4038,22213,39771,55282,63623,112644,188622
7,832,832.000,2591,3274,4903,24593,42818,58790,70872,157576,230067
8,631,631.000,2663,3386,5765,30540,35906,51585,67802,374950,404281
9,789,789.000,2668,3393,16336,26036,40801,55289,67099,172524,234810
10,771,771.000,2593,3303,4824,25636,39838,65783,86560,161595,197927
11,685,685.000,2517,3201,4049,30140,47397,63801,86588,344426,412488
12,550,550.000,2551,3259,10763,35420,50945,73738,91360,348058,369362
13,746,746.000,2510,3248,4748,27148,39373,56884,71537,264652,318968
14,560,560.000,2547,3283,6335,38350,46730,71257,94399,445364,556460
15,547,547.000,2659,3178,4013,34827,50782,78413,91683,417288,538386
16,539,539.000,2489,3213,4234,35787,55304,84067,118604,366938,506951
17,513,513.000,1878,3336,7200,41503,61501,90724,133878,401995,537916
18,436,436.000,2580,3292,6299,46782,56460,83995,114787,497734,604247
19,533,533.000,2624,3231,4102,36305,45154,73495,92606,474231,518868
20,438,438.000,2616,3255,4247,47865,54775,83554,135032,607692,667998
21,407,407.000,2500,3282,5302,46538,56689,85814,107752,544147,626901
22,410,410.000,2562,3234,6037,47237,45623,78355,129735,615890,635544
23,466,466.000,2539,3203,4304,43221,51594,82547,105514,601724,662727
24,471,471.000,2586,3267,4551,44683,50634,80287,97364,555263,697723
25,458,458.000,2653,3384,6723,41383,57080,85261,101094,513444,576793
26,419,419.000,2388,3353,6597,47325,68013,92245,110737,474545,563908
27,606,606.000,2605,3460,4452,33827,41287,63240,105441,350804,480395
28,560,560.000,2692,3568,9617,34636,43503,67023,91455,368929,431524
29,728,728.000,2607,3422,5268,27116,40812,64070,80253,219395,311712
30,580,580.000,2260,3432,5979,35497,41254,64291,153816,377077,448171
31,581,581.000,2690,3427,4270,33507,40603,63214,88256,408393,457473
32,637,637.000,2609,3421,4696,32269,30701,51754,86671,397700,490140
33,663,663.000,2552,3238,4099,29445,36223,61887,79450,344746,456468
34,601,601.000,2456,3193,6096,37017,35779,56258,293878,426071,500873
35,593,593.000,2450,3148,7684,30673,35920,55843,71274,390072,537733
36,635,635.000,2480,3193,4232,32208,37755,57675,95895,353012,472690
37,535,535.000,2470,3259,10486,35309,45617,68066,79775,408366,453001
38,683,683.000,2511,3181,4083,29637,40231,66972,89622,327048,395133
39,637,637.000,2427,3178,6514,30232,38111,57069,77997,367231,397225
40,753,753.000,2560,3169,3639,26809,35961,58963,85103,299352,399005
41,731,731.000,2425,3265,4726,27360,45514,69102,81998,202495,296550
42,721,721.000,2521,3231,6249,28492,39467,65687,82494,277224,339995
43,663,663.000,2661,3234,4201,30062,34537,53006,62990,361017,415155
44,701,701.000,2621,3221,3955,28358,39769,65204,88014,306833,371017
45,738,738.000,2366,3213,4294,26461,43342,68762,86907,190422,261460
46,774,774.000,2551,3271,4708,25969,39929,69243,94610,156848,220027
47,691,691.000,2314,3247,5090,30949,35414,60348,100337,386646,468251
48,645,645.000,2575,3256,4233,30884,28828,47356,67852,401950,452634
49,679,679.000,2403,3252,4362,27786,32062,51176,71807,379705,464052
50,624,624.000,2512,3190,3850,31904,41127,66854,106762,357282,471135
51,796,796.000,2374,3217,4371,25035,36417,56806,82176,246323,350558
52,535,535.000,2490,3207,5989,41035,42922,74407,244544,458546,475640
53,633,633.000,2460,3209,5903,29646,33127,50553,63264,400823,464610
54,713,713.000,2459,3156,3997,27302,33636,54213,72454,345976,383981
55,680,680.000,2543,3152,5443,30623,33441,57508,82822,354995,373230
56,668,668.000,2408,3183,5227,30312,30411,51881,97209,360807,417895
57,756,756.000,2480,3143,4759,24996,28620,47724,63281,346153,417669
58,698,698.000,2599,3203,4583,31101,35348,52447,78079,411821,457089
59,563,563.000,1973,3191,4239,28022,34086,55632,80975,457076,502835
