Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,FindFlights,1750957152.801122,1482899,91,1
4,NewReservation,1750957152.801312,4947578,12,1
5,UpdateCustomer,1750957152.801379,632321,22,1
1,DeleteReservation,1750957152.801460,204,9,1
3,FindOpenSeats,1750957152.801522,514496,21,1
4,NewReservation,1750957152.801615,4950942,25,1
4,NewReservation,1750957152.801660,17114,27,1
3,FindOpenSeats,1750957152.801784,512614,15,1
3,FindOpenSeats,1750957152.801920,485304,11,1
4,NewReservation,1750957152.802001,4958113,30,1
3,FindOpenSeats,1750957152.802009,506566,9,1
3,FindOpenSeats,1750957152.802065,482237,16,1
6,UpdateReservation,1750957152.802095,136,28,1
2,FindFlights,1750957152.802156,1741841,14,1
3,FindOpenSeats,1750957152.802203,494812,17,1
5,UpdateCustomer,1750957152.802276,651298,28,1
3,FindOpenSeats,1750957152.802352,488404,29,1
4,NewReservation,1750957152.802513,18151,32,1
6,UpdateReservation,1750957152.802681,95,20,1
3,FindOpenSeats,1750957152.802811,481082,24,1
4,NewReservation,1750957152.802813,4947034,20,1
2,FindFlights,1750957152.802869,1944154,23,1
5,UpdateCustomer,1750957152.803046,610022,33,1
3,FindOpenSeats,1750957152.803211,480933,26,1
2,FindFlights,1750957152.803414,2017876,42,1
3,FindOpenSeats,1750957152.803572,481131,38,1
1,DeleteReservation,1750957152.803654,78,40,1
3,FindOpenSeats,1750957152.803718,481651,31,1
4,NewReservation,1750957152.803797,4940444,49,1
6,UpdateReservation,1750957152.803876,130,35,1
3,FindOpenSeats,1750957152.803931,482838,36,1
2,FindFlights,1750957152.804008,1483297,34,1
3,FindOpenSeats,1750957152.804048,539254,39,1
3,FindOpenSeats,1750957152.804052,535448,35,1
4,NewReservation,1750957152.804133,15449,52,1
2,FindFlights,1750957152.804196,1580935,51,1
3,FindOpenSeats,1750957152.804281,556862,43,1
4,NewReservation,1750957152.804315,4939041,44,1
6,UpdateReservation,1750957152.804380,8992,45,1
1,DeleteReservation,1750957152.804424,9165,47,1
5,UpdateCustomer,1750957152.804483,606592,48,1
2,FindFlights,1750957152.804524,1478456,37,1
1,DeleteReservation,1750957152.804573,8907,53,1
3,FindOpenSeats,1750957152.804617,563246,41,1
5,UpdateCustomer,1750957152.804677,611867,54,1
5,UpdateCustomer,1750957152.804717,633692,55,1
1,DeleteReservation,1750957152.804772,8715,46,1
1,DeleteReservation,1750957152.804828,8646,50,1
5,UpdateCustomer,1750957152.804880,573818,58,1
3,FindOpenSeats,1750957152.813410,488716,63,1
3,FindOpenSeats,1750957152.813417,575065,57,1
3,FindOpenSeats,1750957152.813422,537151,66,1
5,UpdateCustomer,1750957152.813423,601375,56,1
6,UpdateReservation,1750957152.813424,121,62,1
1,DeleteReservation,1750957152.813440,3392,67,1
6,UpdateReservation,1750957152.813456,122,68,1
3,FindOpenSeats,1750957152.813463,550558,78,1
2,FindFlights,1750957152.813469,1663446,59,1
6,UpdateReservation,1750957152.813478,333,73,1
2,FindFlights,1750957152.813486,1815214,76,1
3,FindOpenSeats,1750957152.813513,537626,71,1
4,NewReservation,1750957152.813526,4938690,81,1
2,FindFlights,1750957152.813541,1846239,82,1
2,FindFlights,1750957152.813552,1690000,1,1
6,UpdateReservation,1750957152.813554,109,64,1
3,FindOpenSeats,1750957152.813566,495677,61,1
3,FindOpenSeats,1750957152.813577,575982,98,1
5,UpdateCustomer,1750957152.813593,618850,72,1
3,FindOpenSeats,1750957152.813616,519425,77,1
5,UpdateCustomer,1750957152.813637,596966,65,1
3,FindOpenSeats,1750957152.813674,508196,74,1
3,FindOpenSeats,1750957152.813682,513173,69,1
3,FindOpenSeats,1750957152.814008,532321,80,1
4,NewReservation,1750957152.814022,4939000,75,1
6,UpdateReservation,1750957152.814031,138,83,1
3,FindOpenSeats,1750957152.814041,522361,60,1
2,FindFlights,1750957152.814078,1781614,70,1
3,FindOpenSeats,1750957152.816050,498816,96,1
6,UpdateReservation,1750957152.816144,205,79,1
2,FindFlights,1750957152.816336,1750965,84,1
4,NewReservation,1750957152.816368,4939024,97,1
3,FindOpenSeats,1750957152.816389,476576,86,1
6,UpdateReservation,1750957152.816427,261,93,1
4,NewReservation,1750957152.816508,4935581,92,1
3,FindOpenSeats,1750957152.816561,486924,90,1
3,FindOpenSeats,1750957152.816615,536970,95,1
4,NewReservation,1750957152.816684,4942947,94,1
3,FindOpenSeats,1750957152.816785,517606,88,1
6,UpdateReservation,1750957152.816847,435,85,1
4,NewReservation,1750957152.816901,4609,99,1
6,UpdateReservation,1750957152.816907,381,67,1
4,NewReservation,1750957152.817095,2053,87,1
3,FindOpenSeats,1750957152.817182,503920,5,1
5,UpdateCustomer,1750957152.817362,588588,67,1
3,FindOpenSeats,1750957152.817376,475780,7,1
4,NewReservation,1750957152.817405,4932165,85,1
3,FindOpenSeats,1750957152.817699,582866,6,1
3,FindOpenSeats,1750957152.817753,539412,3,1
4,NewReservation,1750957152.817795,4931681,4,1
5,UpdateCustomer,1750957152.817875,602258,2,1
3,FindOpenSeats,1750957152.817907,568488,0,1
1,DeleteReservation,1750957152.817989,316,10,1
1,DeleteReservation,1750957152.818025,236,8,1
2,FindFlights,1750957152.818090,1801119,19,1
3,FindOpenSeats,1750957152.818120,495912,13,1
6,UpdateReservation,1750957152.818347,87,18,1
