Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,13.600,216.923,15.575,34.531,87.854,322.457,610.022,619.268,651.298,651.298,0.005
5,23.400,32.161,14.090,17.988,21.502,37.852,71.991,79.635,89.766,95.243,0.031
10,20.600,22.474,12.931,15.882,18.930,27.889,34.565,38.378,43.992,66.637,0.044
15,10.400,24.369,12.713,16.700,22.389,31.659,33.985,39.523,52.505,52.505,0.041
20,9.600,24.841,14.320,17.023,23.239,30.019,38.784,40.790,64.386,64.386,0.040
25,19.600,23.977,13.011,16.256,21.306,30.490,40.284,44.750,53.313,53.313,0.042
30,12.800,24.930,13.037,16.730,21.604,32.228,38.685,46.135,55.543,55.543,0.040
35,14.600,19.588,11.111,14.140,16.353,23.028,29.266,34.632,51.274,51.274,0.051
40,8.800,24.081,11.492,16.360,23.851,31.982,36.187,37.807,40.415,40.415,0.042
45,15.800,22.779,11.051,15.095,19.700,29.935,34.649,40.653,50.849,50.849,0.044
50,13.000,24.101,11.433,16.261,20.499,30.539,38.228,42.505,53.570,53.570,0.041
55,11.000,23.642,11.207,14.779,20.235,26.371,40.449,49.603,68.083,68.083,0.042
