Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,152.000,682.238,0.011,7.706,30.894,558.187,2882.606,4370.498,4939.041,4958.113,0.001
5,227.200,459.664,0.006,9.828,22.146,69.751,1980.546,3198.932,4974.432,5291.434,0.002
10,208.600,640.755,0.010,14.508,32.871,903.678,2710.067,2812.558,4171.548,4269.000,0.002
15,90.800,978.675,0.013,11.299,31.044,1764.936,3956.815,4000.311,4023.134,4042.410,0.001
20,81.800,913.542,0.015,13.667,33.493,1096.802,3638.965,3666.592,3684.595,3689.211,0.001
25,188.400,698.082,0.013,14.487,33.053,989.901,2996.456,3537.609,3624.240,3639.717,0.001
30,114.400,591.979,0.020,17.785,38.281,922.183,2753.657,2799.048,2822.456,2826.272,0.002
35,157.200,839.154,0.008,13.561,31.034,1067.118,3151.859,4176.384,4239.858,4253.298,0.001
40,90.400,778.291,0.008,11.492,34.658,1399.103,2854.160,2878.526,2903.456,2915.354,0.001
45,142.800,733.138,0.005,16.623,41.030,1323.907,2781.707,2889.207,2911.984,2916.549,0.001
50,140.200,837.310,0.002,15.360,42.273,1706.856,3646.076,3803.025,3846.935,3865.276,0.001
55,109.800,445.708,0.007,14.052,38.082,865.756,2046.084,2153.236,2172.601,2180.126,0.002
