Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,16.000,248.649,0.007,0.021,0.028,7.787,72.076,2990.571,3982.901,3982.901,0.004
5,5.600,1190.286,0.020,75.262,1776.686,1810.507,1823.777,1829.863,2257.219,2257.219,0.001
10,7.800,1590.162,0.007,62.422,1742.292,3579.133,3684.220,3687.530,3693.128,3693.128,0.001
15,7.600,1705.469,0.023,894.329,1902.393,2703.283,2750.309,2753.958,2760.376,2760.376,0.001
20,10.800,1265.569,0.013,93.550,965.809,1802.620,2637.370,2647.956,2663.447,2663.447,0.001
25,8.200,1283.836,0.018,850.545,1717.401,1731.898,1757.172,1759.894,1767.781,1767.781,0.001
30,10.200,1553.196,0.018,974.729,1829.050,2582.934,2623.296,2630.246,2639.562,2639.562,0.001
35,7.600,1261.631,0.029,911.580,1761.779,1839.863,1859.506,1874.113,1876.275,1876.275,0.001
40,11.200,1210.271,0.018,111.965,1016.825,1793.961,2594.661,2606.299,2638.433,2638.433,0.001
45,8.000,999.226,7.619,57.516,951.102,1786.172,1824.052,1845.899,1855.135,1855.135,0.001
50,8.000,1635.190,7.909,967.710,1816.922,1894.468,2647.009,2670.974,3725.113,3725.113,0.001
55,4.200,1638.683,7.974,86.787,1918.097,2789.982,2795.258,2797.789,2818.318,2818.318,0.001
