Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.200,1095.719,836.754,929.604,1012.094,1233.827,1548.628,1598.738,1653.251,1653.251,0.001
5,7.200,881.043,827.830,850.629,873.676,890.646,945.379,979.572,983.977,983.977,0.001
10,7.200,861.975,825.386,842.016,862.702,875.458,897.485,936.038,947.360,947.360,0.001
15,6.600,869.154,821.695,849.544,865.525,873.009,883.826,970.186,977.387,977.387,0.001
20,10.000,862.236,822.374,840.058,859.486,878.114,895.427,909.190,978.015,978.015,0.001
25,6.400,857.702,819.459,844.565,861.343,868.399,879.283,896.636,912.016,912.016,0.001
30,10.000,862.277,818.826,843.592,860.130,871.897,906.992,911.267,953.970,953.970,0.001
35,7.800,868.683,826.165,844.540,861.364,884.709,929.562,948.543,959.777,959.777,0.001
40,9.200,860.432,815.880,837.532,857.120,871.589,883.068,919.900,1001.449,1001.449,0.001
45,10.200,868.332,820.206,846.312,859.721,889.017,905.902,932.577,947.543,947.543,0.001
50,8.000,896.614,824.478,859.984,882.449,942.510,993.884,1040.346,1040.484,1040.484,0.001
55,5.800,871.599,836.377,848.509,856.633,871.258,927.572,1014.078,1048.849,1048.849,0.001
