Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,56.000,43.620,5.784,8.220,9.121,11.418,123.596,312.566,334.486,338.284,0.023
5,27.200,17.099,5.886,8.542,10.113,12.842,14.905,15.834,16.644,900.831,0.058
10,28.400,16.491,5.811,8.099,9.115,11.231,15.917,16.964,19.353,918.466,0.061
15,27.400,10.488,5.541,7.472,9.009,12.441,13.909,16.275,17.274,86.974,0.095
20,34.600,10.151,5.376,7.290,8.582,13.264,15.673,17.255,18.664,19.247,0.099
25,27.600,10.003,5.365,7.443,8.517,13.232,14.942,15.920,17.979,18.145,0.100
30,33.600,9.945,5.233,7.412,8.729,12.765,14.547,15.178,17.268,26.845,0.101
35,33.200,11.712,5.375,7.712,9.694,16.496,18.366,19.653,21.985,21.996,0.085
40,35.200,11.299,5.545,7.663,8.946,15.516,17.734,18.811,20.875,21.154,0.089
45,32.800,12.620,5.126,7.758,12.831,17.840,19.382,19.880,21.499,21.883,0.079
50,36.400,18.654,5.170,7.672,11.321,19.238,22.929,25.581,30.603,926.234,0.054
55,24.800,12.682,5.242,7.709,9.432,19.502,22.822,24.004,25.022,25.392,0.079
