Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,24.400,1778.058,2.842,33.400,2064.083,3063.453,3392.130,4051.638,4063.398,4066.210,0.001
5,16.400,1686.007,13.770,1757.750,1782.558,1794.482,1836.804,2168.316,2531.762,2531.762,0.001
10,14.400,2434.679,21.081,1743.681,1770.410,3652.715,3682.759,3685.888,3692.004,3692.004,0.000
15,15.400,1888.925,10.708,1850.452,1898.809,2705.953,2742.355,2750.092,2751.884,2751.884,0.001
20,19.600,1519.098,10.421,932.519,1737.008,1776.378,2638.822,2648.002,2654.409,2654.409,0.001
25,14.000,1454.282,11.111,932.055,1715.205,1730.631,1742.752,1747.701,1753.524,1753.524,0.001
30,20.200,1861.173,13.735,1769.140,1827.507,1927.323,2631.129,2640.514,2642.247,2661.349,0.001
35,21.200,1307.448,10.318,930.495,1776.882,1839.330,1862.345,1873.758,1876.864,1877.951,0.001
40,21.600,1441.631,9.618,992.992,1688.130,1803.142,2598.768,2605.843,2607.492,2608.320,0.001
45,18.200,1261.997,9.755,851.841,1754.600,1810.134,1836.551,1847.225,1853.923,1853.923,0.001
50,21.600,1782.570,10.964,1780.711,1840.170,2606.930,2667.335,2675.889,2678.596,2687.570,0.001
55,9.200,2176.128,8.876,1786.805,2724.063,2790.706,2811.685,2814.633,2818.780,2818.780,0.000
