Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,19.800,5.803,0.022,0.054,0.086,14.334,18.391,19.513,60.899,60.899,0.172
5,9.200,9.991,0.027,0.060,11.545,18.425,24.475,25.141,30.474,30.474,0.100
10,9.600,9.738,0.016,0.057,12.317,17.724,20.614,22.020,26.088,26.088,0.103
15,10.200,14.230,0.041,8.033,14.023,24.261,26.419,26.597,31.654,31.654,0.070
20,14.800,15.594,0.009,10.659,15.799,26.147,27.970,29.184,30.633,30.633,0.064
25,8.400,15.790,0.014,8.543,13.804,26.608,28.984,29.611,30.209,30.209,0.063
30,14.800,18.149,0.013,12.940,17.766,25.537,28.288,30.193,31.285,31.285,0.055
35,16.000,20.006,0.010,12.245,14.911,35.465,38.275,38.987,40.104,40.104,0.050
40,15.800,17.447,0.011,12.327,13.891,25.759,36.143,36.812,39.095,39.095,0.057
45,16.400,20.822,0.022,12.032,14.539,37.120,39.551,41.587,42.899,42.899,0.048
50,14.000,23.968,0.020,12.818,17.266,41.982,49.623,53.667,54.850,54.850,0.042
55,11.400,25.954,0.078,13.944,26.248,41.623,45.207,47.653,48.260,48.260,0.039
