Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,256,256.000,11,157,13180,513812,347559,2859507,3063453,3387782,3392130
1,53,53.000,11,8594,26873,538708,866998,1950207,2064083,2123323,2123323
2,15,15.000,20,8357,856577,543004,1005429,1009981,1208216,1208216,1208216
3,337,337.000,7,8480,14357,306903,36488,1094534,1598738,4063168,4066210
4,90,90.000,50,8120,13717,782231,930908,3053452,3100711,3149036,3149036
5,49,49.000,32,9156,18093,665707,979572,2192969,2257219,2531762,2531762
6,15,15.000,20,7738,9254,337060,883775,1131843,1215145,1215145,1215145
7,136,136.000,27,10368,15536,596830,1765146,1785419,1792958,1796815,1811640
8,18,18.000,40,9016,792067,483881,873903,923282,930177,930177,930177
9,136,136.000,24,10579,18156,581384,1753219,1799516,1809856,1823777,1829863
10,39,39.000,21,8612,12410,296508,839687,913039,931385,955618,955618
11,155,155.000,24,9099,14873,955848,918466,3676903,3685451,3692004,3693128
12,47,47.000,41,7966,9385,697357,897485,2803608,2808886,2817809,2817809
13,6,6.000,10190,17627,23838,296929,852715,856127,856127,856127,856127
14,134,134.000,7,10742,18371,579917,1714737,1757428,1758356,1770410,1776972
15,29,29.000,6470,9748,86974,420177,856707,894329,901584,910412,910412
16,151,151.000,41,9619,14046,552168,1761921,1899639,1912209,1919158,1939030
17,31,31.000,135,7030,14049,386397,998914,1046044,1053439,1056226,1056226
18,149,149.000,23,12416,21134,802915,2676545,2733751,2750092,2753958,2760376
19,19,19.000,54,7734,862616,779293,1858890,1886715,1892310,1892310,1892310
20,14,14.000,42,9222,10507,265276,828672,879311,1012581,1012581,1012581
21,132,132.000,12,10123,17844,585202,1732441,1771838,1775226,1787028,1809268
22,47,47.000,18,7555,11764,249006,838576,901154,901668,914169,914169
23,141,141.000,13,11276,23888,353092,913478,956597,965026,976356,978015
24,161,161.000,9,12112,25540,756586,1772427,2637370,2647259,2654409,2663447
25,37,37.000,5975,7242,8536,268010,70641,948336,1590705,1713436,1713436
26,151,151.000,14,11564,17278,518460,1683198,1732353,1749193,1760079,1767781
27,21,21.000,22,8206,819694,459861,881435,893290,895743,899150,899150
28,115,115.000,25,10967,24926,649789,1706907,1729789,1733220,1734384,1734395
29,32,32.000,5468,7684,16969,375077,851644,868977,882927,884747,884747
30,140,140.000,5334,13540,21340,586558,1867718,1919170,1925394,1927778,1945868
31,29,29.000,37,8290,73097,480887,998830,1062310,1062965,1065660,1065660
32,138,138.000,17,9757,20741,589716,1768747,1816693,1827395,1830006,1830625
33,60,60.000,5889,12371,21373,649180,963849,2640514,2641129,2661349,2661349
34,136,136.000,13,8348,14613,721329,1708429,2613417,2627853,2631174,2632824
35,23,23.000,23,8070,9581,231365,779885,900417,907118,920641,920641
36,139,139.000,10,10824,19274,340793,911580,962370,965503,966167,978742
37,152,152.000,29,13591,22321,551604,1761779,1832988,1839841,1842974,1852163
38,35,35.000,25,7654,12629,265941,871564,919856,966185,983079,983079
39,130,130.000,45,14097,21767,607670,1807391,1862761,1874113,1876864,1877951
40,32,32.000,5612,8104,18651,443540,992992,1014162,1014646,1016615,1016615
41,148,148.000,28,13367,19418,543814,1702130,1787248,1792010,1794554,1803142
42,33,33.000,35,8001,12671,301540,843673,912172,916417,928188,928188
43,149,149.000,129,12131,17805,338075,902230,1015049,1021843,1028532,1036834
44,154,154.000,11,9249,16915,729912,2478315,2598319,2606164,2608320,2638433
45,47,47.000,22,8416,14539,391451,838766,1704389,1706557,1758256,1758256
46,150,150.000,23,13360,19946,504712,878695,1776246,1804308,1812787,1820668
47,56,56.000,23,7334,12041,274438,850625,902158,922930,929373,929373
48,190,190.000,31,15285,22458,417991,859721,1828532,1839490,1853923,1855135
49,31,31.000,126,9064,834629,478116,944279,971057,987328,987451,987451
50,146,146.000,5170,12117,19652,579122,1767357,1816922,1821305,1824101,3725113
51,34,34.000,4849,7615,12748,278662,885491,935343,947003,955224,955224
52,123,123.000,22,15891,29684,666710,1826735,1881465,1882607,1901244,1911435
53,26,26.000,5112,8057,18076,414318,874089,936024,967710,975229,975229
54,148,148.000,20,13852,21928,761521,2598693,2665313,2673794,2678596,2687570
55,45,45.000,110,8109,13023,456278,864970,1779439,1784703,1797348,1797348
56,129,129.000,143,16491,36585,817347,1014078,2792837,2809829,2818318,2818780
57,44,44.000,5819,9019,20803,733194,1895498,1941172,1942571,1950965,1950965
58,12,12.000,6479,8241,21974,318390,853542,939115,1057830,1057830,1057830
59,87,87.000,78,8931,15504,17237,20438,31811,41623,86787,86787
