Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,ReadRecord,1750888081.411868,153407,16,1
4,UpdateRecord,1750888081.411873,461791,3,1
1,ReadRecord,1750888081.411874,203110,15,1
3,ScanRecord,1750888081.411876,198037,6,1
1,ReadRecord,1750888081.411890,269098,21,1
1,ReadRecord,1750888081.412002,248619,18,1
2,InsertRecord,1750888081.412012,84941,1,1
5,DeleteRecord,1750888081.412076,456369,13,1
2,InsertRecord,1750888081.412108,82320,0,1
1,ReadRecord,1750888081.412122,122577,14,1
5,DeleteRecord,1750888081.412151,456399,24,1
6,ReadModifyWriteRecord,1750888081.412231,598411,20,1
1,ReadRecord,1750888081.412234,204340,19,1
1,ReadRecord,1750888081.412282,157327,25,1
6,ReadModifyWriteRecord,1750888081.412356,490599,4,1
6,ReadModifyWriteRecord,1750888081.412377,599276,8,1
1,ReadRecord,1750888081.412407,179816,22,1
3,ScanRecord,1750888081.412420,243157,17,1
1,ReadRecord,1750888081.412516,125246,27,1
5,DeleteRecord,1750888081.412522,456644,10,1
4,UpdateRecord,1750888081.412669,463572,7,1
1,ReadRecord,1750888081.412679,207389,26,1
1,ReadRecord,1750888081.412722,190303,23,1
3,ScanRecord,1750888081.412774,179774,2,1
6,ReadModifyWriteRecord,1750888081.412869,490553,11,1
3,ScanRecord,1750888081.412897,155358,29,1
3,ScanRecord,1750888081.412939,197151,12,1
6,ReadModifyWriteRecord,1750888081.413082,489053,9,1
4,UpdateRecord,1750888081.413104,495948,30,1
5,DeleteRecord,1750888081.413195,454477,5,1
1,ReadRecord,1750888081.413212,118649,31,1
4,UpdateRecord,1750888081.413449,462238,32,1
4,UpdateRecord,1750888081.413523,492965,28,1
2,InsertRecord,1750888081.413837,99043,33,1
3,ScanRecord,1750888081.413910,296269,35,1
3,ScanRecord,1750888081.414060,250078,37,1
1,ReadRecord,1750888081.414261,256100,38,1
6,ReadModifyWriteRecord,1750888081.414431,489318,34,1
1,ReadRecord,1750888081.414506,125126,41,1
3,ScanRecord,1750888081.414602,271375,36,1
6,ReadModifyWriteRecord,1750888081.414705,488336,42,1
2,InsertRecord,1750888081.414931,89439,40,1
5,DeleteRecord,1750888081.415064,454635,43,1
4,UpdateRecord,1750888081.415222,462065,44,1
1,ReadRecord,1750888081.415586,185058,39,1
1,ReadRecord,1750888081.415743,165193,45,1
5,DeleteRecord,1750888081.416063,451616,46,1
1,ReadRecord,1750888081.416068,220475,47,1
1,ReadRecord,1750888081.416220,137292,48,1
4,UpdateRecord,1750888081.416468,488245,49,1
2,InsertRecord,1750888081.416743,84159,50,1
1,ReadRecord,1750888081.416776,256747,57,1
5,DeleteRecord,1750888081.417002,450870,56,1
1,ReadRecord,1750888081.417057,239876,58,1
5,DeleteRecord,1750888081.417248,452543,51,1
1,ReadRecord,1750888081.417428,259047,55,1
3,ScanRecord,1750888081.417534,231858,52,1
5,DeleteRecord,1750888081.417679,451530,59,1
1,ReadRecord,1750888081.417902,148731,53,1
5,DeleteRecord,1750888081.418663,455517,62,1
1,ReadRecord,1750888081.418683,157441,61,1
2,InsertRecord,1750888081.419004,87383,63,1
5,DeleteRecord,1750888081.419037,452300,60,1
5,DeleteRecord,1750888081.419073,451858,64,1
5,DeleteRecord,1750888081.419534,453581,54,1
1,ReadRecord,1750888081.419645,141789,67,1
6,ReadModifyWriteRecord,1750888081.419744,592671,65,1
6,ReadModifyWriteRecord,1750888081.419868,592154,66,1
1,ReadRecord,1750888081.419898,223588,69,1
6,ReadModifyWriteRecord,1750888081.419942,591758,68,1
1,ReadRecord,1750888081.420156,166161,70,1
1,ReadRecord,1750888081.420288,198016,71,1
4,UpdateRecord,1750888081.420419,488654,73,1
6,ReadModifyWriteRecord,1750888081.420487,591194,72,1
3,ScanRecord,1750888081.420782,204055,74,1
5,DeleteRecord,1750888081.420920,453268,76,1
1,ReadRecord,1750888081.420973,118844,77,1
3,ScanRecord,1750888081.421271,266613,79,1
1,ReadRecord,1750888081.421612,225793,75,1
1,ReadRecord,1750888081.421693,150307,81,1
1,ReadRecord,1750888081.421818,137666,78,1
6,ReadModifyWriteRecord,1750888081.421957,589957,82,1
1,ReadRecord,1750888081.422640,226762,84,1
1,ReadRecord,1750888081.423024,218880,80,1
1,ReadRecord,1750888081.423703,120185,85,1
3,ScanRecord,1750888081.423979,287105,89,1
1,ReadRecord,1750888081.424061,226336,90,1
4,UpdateRecord,1750888081.424257,485055,93,1
5,DeleteRecord,1750888081.424269,454065,86,1
3,ScanRecord,1750888081.424520,199175,83,1
1,ReadRecord,1750888081.424870,139198,91,1
1,ReadRecord,1750888081.425036,197660,88,1
5,DeleteRecord,1750888081.425385,452981,87,1
1,ReadRecord,1750888081.428117,246994,94,1
1,ReadRecord,1750888081.428726,184420,92,1
1,ReadRecord,1750888081.428795,148014,95,1
3,ScanRecord,1750888081.429156,252268,96,1
2,InsertRecord,1750888081.429212,80336,98,1
3,ScanRecord,1750888081.429306,269385,99,1
5,DeleteRecord,1750888081.430416,480215,97,1
1,ReadRecord,1750888081.494722,145368,0,1
1,ReadRecord,1750888081.497121,199057,1,1
6,ReadModifyWriteRecord,1750888081.500976,511666,50,1
1,ReadRecord,1750888081.504521,190652,40,1
1,ReadRecord,1750888081.506432,182495,63,1
5,DeleteRecord,1750888081.509602,401558,98,1
5,DeleteRecord,1750888081.513070,398354,33,1
3,ScanRecord,1750888081.532011,78930,31,1
4,UpdateRecord,1750888081.534957,377454,14,1
4,UpdateRecord,1750888081.537821,375200,27,1
4,UpdateRecord,1750888081.539856,373706,41,1
3,ScanRecord,1750888081.539869,171419,77,1
1,ReadRecord,1750888081.543945,73858,85,1
3,ScanRecord,1750888081.553688,161329,48,1
1,ReadRecord,1750888081.559633,136285,78,1
6,ReadModifyWriteRecord,1750888081.561554,451525,67,1
3,ScanRecord,1750888081.564115,244999,91,1
3,ScanRecord,1750888081.565331,37750,16,1
3,ScanRecord,1750888081.566721,253969,53,1
3,ScanRecord,1750888081.568395,145882,29,1
3,ScanRecord,1750888081.569793,142432,25,1
1,ReadRecord,1750888081.572143,126618,81,1
1,ReadRecord,1750888081.576267,122928,61,1
1,ReadRecord,1750888081.576847,123174,95,1
1,ReadRecord,1750888081.580982,119108,45,1
3,ScanRecord,1750888081.586378,208184,70,1
1,ReadRecord,1750888081.592320,108137,22,1
2,InsertRecord,1750888081.592647,321614,2,1
1,ReadRecord,1750888081.600729,100669,39,1
1,ReadRecord,1750888081.603076,97440,23,1
2,InsertRecord,1750888081.603139,311672,16,1
6,ReadModifyWriteRecord,1750888081.610077,403764,6,1
1,ReadRecord,1750888081.610136,92700,12,1
3,ScanRecord,1750888081.610977,211136,31,1
1,ReadRecord,1750888081.613181,88037,92,1
5,DeleteRecord,1750888081.615027,401177,15,1
4,UpdateRecord,1750888081.616618,397977,19,1
5,DeleteRecord,1750888081.617837,301075,85,1
6,ReadModifyWriteRecord,1750888081.618361,395223,71,1
6,ReadModifyWriteRecord,1750888081.620107,395337,26,1
1,ReadRecord,1750888081.622728,83960,88,1
4,UpdateRecord,1750888081.623757,293756,83,1
1,ReadRecord,1750888081.624941,79142,74,1
6,ReadModifyWriteRecord,1750888081.636591,380078,47,1
6,ReadModifyWriteRecord,1750888081.640126,376751,0,1
1,ReadRecord,1750888081.641938,62744,80,1
1,ReadRecord,1750888081.643600,60754,69,1
3,ScanRecord,1750888081.647491,80116,75,1
1,ReadRecord,1750888081.649556,55198,84,1
4,UpdateRecord,1750888081.649602,269365,52,1
1,ReadRecord,1750888081.650432,54669,90,1
6,ReadModifyWriteRecord,1750888081.655613,362509,17,1
5,DeleteRecord,1750888081.656979,262402,58,1
3,ScanRecord,1750888081.660747,76746,18,1
4,UpdateRecord,1750888081.664192,255742,37,1
1,ReadRecord,1750888081.670400,36363,38,1
4,UpdateRecord,1750888081.673708,246416,57,1
1,ReadRecord,1750888081.675162,30951,94,1
1,ReadRecord,1750888081.676540,29684,55,1
1,ReadRecord,1750888081.681168,25146,21,1
1,ReadRecord,1750888081.681466,12950,96,1
3,ScanRecord,1750888081.686165,129390,36,1
1,ReadRecord,1750888081.687922,14989,79,1
1,ReadRecord,1750888081.688974,17636,63,1
2,InsertRecord,1750888081.694480,228314,96,1
5,DeleteRecord,1750888081.695208,227251,40,1
6,ReadModifyWriteRecord,1750888081.695957,428075,78,1
1,ReadRecord,1750888081.696228,4926,1,1
1,ReadRecord,1750888081.698739,13233,99,1
1,ReadRecord,1750888081.698795,6289,81,1
1,ReadRecord,1750888081.699231,6836,61,1
2,InsertRecord,1750888081.700069,223830,95,1
1,ReadRecord,1750888081.700140,6372,45,1
6,ReadModifyWriteRecord,1750888081.700493,421814,22,1
6,ReadModifyWriteRecord,1750888081.700551,317535,23,1
1,ReadRecord,1750888081.701200,6245,1,1
1,ReadRecord,1750888081.701254,6243,92,1
6,ReadModifyWriteRecord,1750888081.701444,317105,39,1
3,ScanRecord,1750888081.702872,28348,12,1
1,ReadRecord,1750888081.702957,5268,79,1
1,ReadRecord,1750888081.704115,5758,74,1
1,ReadRecord,1750888081.704421,6625,69,1
6,ReadModifyWriteRecord,1750888081.704729,314803,80,1
3,ScanRecord,1750888081.704791,99620,84,1
3,ScanRecord,1750888081.705121,90963,81,1
1,ReadRecord,1750888081.705135,6239,90,1
1,ReadRecord,1750888081.706113,5830,61,1
1,ReadRecord,1750888081.706149,6173,94,1
1,ReadRecord,1750888081.706261,6130,55,1
1,ReadRecord,1750888081.706350,6534,21,1
6,ReadModifyWriteRecord,1750888081.706558,312927,45,1
3,ScanRecord,1750888081.706658,115425,63,1
1,ReadRecord,1750888081.706744,6248,88,1
4,UpdateRecord,1750888081.706799,172223,38,1
5,DeleteRecord,1750888081.707488,171946,1,1
1,ReadRecord,1750888081.707541,6306,92,1
4,UpdateRecord,1750888081.708267,175747,79,1
2,InsertRecord,1750888081.709908,170778,74,1
2,InsertRecord,1750888081.710265,171037,35,1
3,ScanRecord,1750888081.711134,78439,69,1
4,UpdateRecord,1750888081.711152,214564,89,1
4,UpdateRecord,1750888081.711333,308712,77,1
3,ScanRecord,1750888081.711412,104157,90,1
1,ReadRecord,1750888081.711978,6099,61,1
2,InsertRecord,1750888081.712006,170029,99,1
4,UpdateRecord,1750888081.712272,416335,25,1
1,ReadRecord,1750888081.712364,6344,94,1
1,ReadRecord,1750888081.712436,5469,55,1
3,ScanRecord,1750888081.712919,97818,21,1
