Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,30.000,885.024,3.503,60.735,194.003,454.477,5214.335,5566.211,5964.353,5979.631,0.001
5,1.200,3005.939,3004.581,3004.934,3005.426,3005.914,3009.842,3009.842,3009.842,3009.842,0.000
10,4.800,3134.467,3003.580,3004.495,3006.676,3007.641,3008.023,3009.347,6086.353,6086.353,0.000
15,13.200,1560.195,5.252,423.190,776.387,2980.463,3213.848,5225.621,5252.072,5252.072,0.001
20,3.800,4903.283,4599.235,4805.449,4885.723,5065.396,5141.497,5158.983,5158.983,5158.983,0.000
25,6.400,1263.517,308.038,503.603,667.282,1217.059,4775.804,4886.432,5132.613,5132.613,0.001
30,10.200,2600.063,402.152,927.359,1127.484,4836.365,5303.375,5433.629,5866.353,5866.353,0.000
35,2.200,4356.711,3004.748,3006.625,5272.516,5311.897,5313.929,5379.179,5379.179,5379.179,0.000
40,4.400,687.072,11.018,95.454,664.039,718.303,742.017,747.783,5075.817,5075.817,0.001
45,13.800,1813.570,543.369,664.021,769.399,923.245,5499.737,5665.761,6056.574,6056.574,0.001
50,1.400,3017.298,3004.727,3005.339,3022.278,3025.446,3030.787,3030.787,3030.787,3030.787,0.000
