Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.800,491.990,4.228,5.273,84.941,228.314,374.832,5130.061,5264.839,5264.839,0.002
5,1.000,3006.156,3004.420,3005.061,3005.144,3007.849,3008.306,3008.306,3008.306,3008.306,0.000
10,1.600,3004.833,3003.814,3004.276,3004.381,3005.963,3006.222,3006.222,3006.222,3006.222,0.000
15,6.800,932.128,5.557,257.249,518.195,639.718,3042.417,5206.080,5245.810,5245.810,0.001
20,2.800,4886.261,4661.914,4758.529,4893.549,4947.324,5109.553,5132.647,5132.647,5132.647,0.000
25,2.400,2455.284,475.373,668.535,1057.230,4859.778,4869.346,4893.730,4893.730,4893.730,0.000
30,4.000,2815.971,359.181,758.627,4562.480,4871.997,5333.199,5360.230,5360.230,5360.230,0.000
35,1.400,4122.501,3003.656,3004.096,3011.968,5624.671,5631.205,5631.205,5631.205,5631.205,0.000
40,1.800,1001.209,6.793,641.709,644.746,654.787,5074.383,5074.383,5074.383,5074.383,0.001
45,6.800,2263.860,547.551,664.815,852.699,5332.703,5684.833,5843.504,5848.065,5848.065,0.000
50,1.200,3020.760,3005.495,3014.315,3023.329,3023.848,3036.314,3036.314,3036.314,3036.314,0.000
