Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,138.000,48.177,3.730,4.705,5.410,17.097,184.420,245.014,500.587,514.223,0.021
5,9.400,3007.032,3004.305,3005.121,3006.109,3008.764,3010.359,3011.108,3013.521,3013.521,0.000
10,17.600,3028.270,3003.444,3004.277,3004.809,3006.993,3008.176,3008.749,5013.461,5013.461,0.000
15,68.400,389.552,3.875,4.692,5.202,339.477,1985.585,2149.897,2649.355,2679.712,0.003
20,16.400,208.213,4.194,4.685,5.066,5.518,273.677,283.971,4712.917,4712.917,0.005
25,42.800,1033.654,3.810,5.053,14.909,3721.952,3852.269,3895.673,4292.090,4292.996,0.001
30,36.800,339.682,4.149,5.083,5.465,6.215,819.949,1000.274,4991.897,5012.365,0.003
35,19.800,4203.772,3003.569,3004.760,3015.439,5460.130,5484.550,5488.885,5654.491,5654.491,0.000
40,19.200,177.779,4.375,5.493,6.212,8.770,27.734,671.162,4474.909,4474.909,0.006
45,71.600,267.888,4.186,5.012,5.412,5.988,655.078,784.681,5244.500,5366.483,0.004
50,10.200,3156.070,3004.591,3011.258,3021.692,3023.745,4010.225,4036.556,4038.938,4038.938,0.000
