Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,285.000,500.113,3.503,5.166,37.750,265.676,538.241,5205.716,5759.999,6012.660,0.002
5,20.000,3006.609,3004.305,3004.962,3005.731,3008.383,3010.193,3010.885,3013.566,3013.566,0.000
10,40.000,3045.055,3003.444,3004.286,3005.007,3006.944,3007.931,3009.039,5822.257,6086.353,0.000
15,133.200,736.397,3.875,5.171,317.241,697.969,2678.195,3026.611,5248.464,5501.098,0.001
20,33.600,2400.585,4.194,5.076,459.787,4837.495,4954.437,5115.337,5159.520,5173.592,0.000
25,74.400,1374.941,3.810,12.593,471.510,3736.153,4534.721,4839.594,5123.849,8283.692,0.001
30,81.200,1526.983,4.149,5.535,769.089,1283.228,4979.866,5121.571,5474.197,5904.786,0.001
35,38.800,4226.486,3003.569,3004.668,3015.816,5469.416,5631.736,5786.661,5827.581,5835.776,0.000
40,36.000,422.876,4.375,6.140,24.455,650.936,747.783,932.773,5075.817,5184.463,0.002
45,141.000,1091.487,4.186,5.399,633.690,831.139,5056.188,5499.737,5888.289,6482.377,0.001
50,20.000,3127.363,3004.038,3007.456,3020.322,3023.662,4010.225,4033.467,4038.938,4038.938,0.000
