Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,740,740.000,3503,5830,116521,165865,270882,442764,489053,812071,928567
1,652,652.000,3795,4867,8904,795302,228167,5214028,5528196,5904644,6012660
2,33,33.000,3730,4626,25106,2163138,5070825,5110901,5121416,5121918,5121918
3,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,100,100.000,3004305,3004962,3005731,3006609,3008383,3010193,3010885,3013566,3013566
8,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,100,100.000,3003805,3004389,3005286,3005867,3007389,3008255,3008997,3009361,3009361
11,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,100,100.000,3003444,3004098,3004592,3084242,3006363,3007884,3009191,6086353,6086353
14,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,97,97.000,1885650,2041399,2678195,2556831,2995768,3052735,3114519,3213848,3213848
17,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,168,168.000,3875,5622,47105,285225,493371,972711,1037718,1134016,1139532
19,401,401.000,3885,4865,243805,485062,571793,697969,841747,5252072,5501098
20,168,168.000,4194,5076,459787,2400585,4837495,4954437,5115337,5159520,5173592
21,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,100,100.000,3718834,3797155,4288085,4306899,4790334,4903779,4916421,8283692,8283692
26,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,48,48.000,5331,37281,48223,404015,847706,1101786,1232868,1419769,1419769
29,224,224.000,3810,5092,38533,274086,510635,719104,1064036,1449876,1550217
30,228,228.000,4149,5359,714571,563570,890371,1056446,1131472,1313449,5474197
31,177,177.000,4676,5792,4526475,2757306,4871997,5172617,5400995,5866353,5904786
32,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
33,1,1.000,3417926,3417926,3417926,3417926,3417926,3417926,3417926,3417926,3417926
34,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
35,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
36,96,96.000,3003569,3004144,3004760,3027690,3007391,3012356,3015439,4036212,4036212
37,4,4.000,3004001,3004025,3004613,3004344,3004738,3004738,3004738,3004738,3004738
38,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
39,94,94.000,5030320,5417529,5474109,5502793,5589879,5786661,5813891,5835776,5835776
40,6,6.000,4471121,4472314,5074383,4792167,5075817,5184463,5184463,5184463,5184463
41,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
42,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
43,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
44,174,174.000,4375,6117,20266,272210,642416,728515,806900,933624,934442
45,205,205.000,4534,5518,646561,457114,758464,852699,906595,929390,1017482
46,239,239.000,4276,5268,559020,419125,735493,867476,901096,1057039,1129303
47,207,207.000,4186,5268,672978,2039554,5364493,5684833,5858555,6444344,6482377
48,54,54.000,4631,5517,4782080,2841317,4961779,5013151,5053485,6056574,6056574
49,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
50,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
51,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
52,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
53,93,93.000,3004038,3010722,3021304,3136498,3023745,4010225,4033467,4038938,4038938
54,7,7.000,3005226,3005668,3005916,3005998,3006469,3006552,3006552,3006552,3006552
