Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,60.000,143.626,6.259,8.243,75.224,154.785,391.324,682.942,868.003,913.925,0.007
5,67.200,113.679,5.835,7.905,71.405,139.090,286.747,409.996,772.716,914.363,0.009
10,61.800,113.842,5.840,7.485,68.926,130.990,285.247,424.895,775.153,924.232,0.009
15,65.400,125.198,5.773,7.354,68.844,140.575,331.173,563.598,722.897,879.231,0.008
20,68.200,100.381,5.308,7.173,66.729,133.723,258.995,359.441,488.696,579.989,0.010
25,67.600,105.360,5.622,7.300,64.877,130.164,299.460,401.431,602.555,686.684,0.009
30,80.000,96.633,5.383,7.235,62.346,120.057,230.046,361.470,630.960,832.502,0.010
35,60.200,140.060,5.761,7.799,85.192,174.626,312.031,591.452,910.609,1028.139,0.007
40,72.400,104.338,5.688,8.147,83.833,132.960,221.003,333.314,627.573,726.675,0.010
45,58.800,141.423,5.717,8.849,109.624,187.469,306.313,497.988,881.405,943.315,0.007
50,55.200,144.883,6.059,8.416,91.647,140.140,461.875,620.625,815.890,827.527,0.007
55,64.600,111.817,5.511,7.900,94.090,141.632,280.042,384.604,512.451,601.372,0.009
