Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,100.000,198.062,16.355,120.447,180.672,276.456,335.954,367.791,450.443,477.548,0.005
5,92.800,231.197,44.530,150.815,224.622,301.486,333.876,392.021,442.094,634.002,0.004
10,94.600,238.824,45.408,150.701,229.161,298.115,397.192,492.603,534.892,547.862,0.004
15,86.400,251.150,23.976,148.214,238.039,319.283,410.942,521.484,602.701,648.440,0.004
20,104.200,223.743,27.206,141.626,233.866,297.998,349.844,399.499,441.744,643.396,0.004
25,100.800,202.943,29.989,117.343,166.027,297.303,352.296,436.200,487.319,544.592,0.005
30,110.200,182.729,31.084,108.514,151.236,239.168,339.046,408.705,495.304,520.814,0.005
35,101.000,196.043,32.141,130.857,172.607,273.788,331.752,346.873,379.691,470.218,0.005
40,107.000,191.314,36.173,124.033,166.873,242.595,342.101,445.861,507.696,552.352,0.005
45,90.000,242.159,36.814,146.867,240.545,348.772,420.748,457.522,541.953,1083.210,0.004
50,79.800,294.099,69.110,189.244,267.956,369.300,495.276,532.709,600.044,669.499,0.003
55,100.400,199.062,40.451,136.631,179.440,260.115,338.790,376.615,426.929,596.271,0.005
