Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,63.800,97.094,3.445,5.185,42.382,92.906,207.227,603.904,804.768,968.273,0.010
5,70.400,75.604,3.160,4.629,35.253,68.352,194.537,373.328,622.164,888.545,0.013
10,63.000,86.226,3.423,4.837,45.995,93.512,266.804,396.188,649.193,784.552,0.012
15,65.200,83.295,3.194,4.560,39.469,101.121,231.760,373.623,612.838,824.894,0.012
20,68.200,75.913,3.186,4.682,39.273,89.042,185.106,334.454,490.844,517.502,0.013
25,71.000,85.771,3.227,22.152,48.806,102.919,239.407,361.450,507.860,643.399,0.012
30,76.800,85.780,3.056,4.657,42.567,96.981,194.488,365.914,608.497,726.322,0.012
35,63.800,100.020,3.125,4.755,43.794,103.571,197.136,538.154,879.205,923.305,0.010
40,73.000,78.462,3.122,4.774,44.120,105.696,194.774,233.482,485.694,563.294,0.013
45,61.800,83.464,3.324,5.327,56.633,106.517,184.569,270.982,522.759,898.781,0.012
50,58.000,91.962,3.138,4.334,39.045,99.772,212.463,557.768,714.544,827.017,0.011
55,63.600,91.193,3.373,5.199,52.988,111.643,237.751,340.931,484.320,509.180,0.011
