Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,12.000,532.568,464.141,489.518,514.054,559.319,650.348,658.980,662.446,662.446,0.002
5,6.600,478.910,445.378,470.105,475.253,485.513,503.137,512.620,530.235,530.235,0.002
10,9.600,474.817,443.513,464.073,470.441,478.578,499.807,519.235,533.532,533.532,0.002
15,9.000,475.611,449.583,464.950,471.590,481.077,507.352,521.147,550.711,550.711,0.002
20,8.800,468.123,438.213,456.833,465.258,473.909,483.521,519.986,548.990,548.990,0.002
25,8.800,487.538,448.660,463.056,476.252,509.977,537.179,564.772,573.412,573.412,0.002
30,10.600,472.336,444.768,460.094,470.135,476.906,486.824,526.868,545.222,545.222,0.002
35,7.000,481.613,448.792,462.548,478.533,488.213,500.488,544.616,576.725,576.725,0.002
40,10.000,482.478,440.934,469.129,480.237,491.007,514.471,532.737,537.402,537.402,0.002
45,7.400,476.891,420.009,461.680,475.910,491.764,504.694,506.432,509.348,509.348,0.002
50,7.600,471.668,434.438,458.965,468.279,479.920,498.025,522.108,540.398,540.398,0.002
55,6.800,470.363,448.697,460.074,468.998,482.701,489.434,499.416,502.494,502.494,0.002
