Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,34.600,20.073,3.521,5.277,5.826,6.963,29.951,163.385,207.157,207.851,0.050
5,24.200,5.482,3.248,4.947,5.392,5.964,6.557,6.950,8.186,8.643,0.182
10,32.000,5.528,3.237,4.880,5.533,6.208,6.734,7.133,7.608,12.723,0.181
15,38.000,5.654,3.498,4.836,5.457,6.349,7.085,7.596,11.114,13.926,0.177
20,28.200,5.733,3.401,4.943,5.373,6.111,6.964,7.943,12.462,19.443,0.174
25,25.000,5.925,3.540,5.256,5.911,6.531,7.265,7.508,8.115,8.331,0.169
30,21.600,5.534,3.169,4.737,5.584,6.399,6.878,7.324,7.934,8.149,0.181
35,36.600,5.626,3.317,4.795,5.709,6.414,7.059,7.392,7.760,8.055,0.178
40,31.600,5.695,3.283,4.930,5.740,6.545,7.134,7.452,8.276,8.298,0.176
45,27.400,6.085,3.268,5.112,5.718,6.492,7.403,7.797,16.327,22.353,0.164
50,34.800,5.589,3.085,4.706,5.484,6.349,7.192,7.512,10.599,13.504,0.179
55,19.600,5.521,3.279,4.773,5.530,6.142,6.752,7.268,8.080,8.080,0.181
