Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,18.200,718.860,0.441,18.389,654.510,1436.194,1595.956,1738.339,1958.726,1958.726,0.001
5,15.600,745.561,8.482,19.115,955.041,976.555,1447.914,1457.294,1463.148,1463.148,0.001
10,16.600,704.494,7.698,474.282,526.618,964.765,1401.472,1426.636,1432.612,1432.612,0.001
15,19.200,501.629,6.485,440.785,515.643,586.198,986.104,996.500,1002.934,1002.934,0.002
20,16.200,608.674,6.578,456.010,486.940,954.756,1377.207,1400.508,1436.210,1436.210,0.002
25,15.200,670.176,6.491,497.533,558.875,988.960,1002.764,1152.118,1158.441,1158.441,0.001
30,13.800,685.408,6.361,486.221,537.563,966.192,1021.634,1023.292,1029.760,1029.760,0.001
35,22.800,563.212,6.102,459.234,506.634,968.152,988.374,992.347,996.216,997.448,0.002
40,17.400,691.205,6.185,497.144,548.261,978.749,1034.542,1043.416,1050.453,1050.453,0.001
45,17.400,583.906,6.467,469.785,494.096,992.476,1027.184,1036.169,1037.907,1037.907,0.002
50,19.800,611.750,10.394,476.099,497.441,956.053,974.548,997.222,1012.246,1012.246,0.002
55,12.000,831.930,76.037,527.011,965.057,981.557,1021.118,1028.662,1030.892,1030.892,0.001
