Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,7.200,52.815,8.539,10.729,15.291,79.558,236.646,242.863,244.985,244.985,0.019
5,7.000,13.854,9.147,10.257,12.012,14.477,19.441,32.720,34.324,34.324,0.072
10,6.800,13.241,8.001,9.587,11.233,15.564,20.140,24.579,29.634,29.634,0.076
15,14.400,12.056,6.748,9.582,10.743,12.984,17.427,20.510,27.133,27.133,0.083
20,7.600,10.641,7.098,8.710,10.043,11.443,13.954,18.846,24.283,24.283,0.094
25,6.600,11.720,8.048,9.441,10.333,11.155,16.638,21.425,36.715,36.715,0.085
30,7.800,11.189,7.013,8.071,9.887,11.880,18.917,24.137,29.191,29.191,0.089
35,11.800,11.766,7.061,8.454,10.078,12.692,15.148,33.986,36.520,36.520,0.085
40,6.800,9.656,7.211,8.255,9.723,10.824,11.532,13.590,14.024,14.024,0.104
45,7.600,11.821,7.236,7.794,9.561,11.729,22.708,26.995,36.834,36.834,0.085
50,8.800,11.322,6.930,8.147,9.681,12.423,18.902,21.223,29.278,29.278,0.088
55,10.000,11.971,6.894,8.517,9.297,12.203,18.177,29.893,41.233,41.233,0.084
