Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,13.200,4.385,0.018,0.040,0.142,8.162,10.921,12.142,13.946,13.946,0.228
5,11.000,6.499,0.020,4.611,8.032,9.088,9.834,10.130,10.629,10.629,0.154
10,18.800,6.291,0.010,0.050,8.239,9.769,10.732,11.196,11.615,11.615,0.159
15,18.600,8.658,0.023,8.247,9.563,10.489,11.111,11.527,12.664,12.664,0.115
20,14.000,6.658,0.006,0.046,8.392,9.726,11.499,11.717,16.315,16.315,0.150
25,12.600,6.694,0.004,0.034,9.535,10.802,12.145,12.689,13.532,13.532,0.149
30,13.400,9.996,0.019,9.095,9.939,11.636,13.157,13.546,13.866,13.866,0.100
35,17.600,9.320,0.004,8.222,10.641,12.020,12.999,14.291,16.884,16.884,0.107
40,12.000,9.856,0.009,8.694,10.308,12.259,14.325,14.778,26.400,26.400,0.101
45,13.800,9.521,0.015,8.650,9.985,11.841,14.410,16.133,16.705,16.705,0.105
50,13.200,9.595,0.020,8.529,9.486,11.617,13.251,13.747,16.225,16.225,0.104
55,10.600,8.176,0.004,7.567,9.203,10.667,11.514,12.516,13.020,13.020,0.122
