Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,96.000,229.813,0.006,5.343,8.453,244.985,882.875,1438.759,1738.339,1958.726,0.004
5,70.800,276.444,0.012,5.483,9.736,482.432,964.368,989.972,1462.919,1468.797,0.004
10,94.200,227.738,0.010,5.562,9.136,469.823,934.967,1090.926,1426.636,1432.612,0.004
15,109.200,177.247,0.015,5.977,9.911,465.781,534.362,921.106,995.959,1002.934,0.006
20,84.600,227.376,0.006,5.448,9.395,465.914,519.986,975.843,1402.646,1436.210,0.004
25,76.600,254.867,0.004,6.032,10.312,497.834,964.623,990.794,1152.118,1158.441,0.004
30,77.000,257.740,0.019,6.472,11.374,478.205,945.527,997.800,1023.292,1029.760,0.004
35,105.000,193.915,0.004,5.976,10.093,470.850,569.946,984.839,992.347,997.448,0.005
40,84.600,254.543,0.009,5.925,10.144,491.007,954.282,1016.869,1043.416,1050.453,0.004
45,81.800,228.229,0.015,6.137,10.355,481.039,511.023,1020.868,1036.357,1037.984,0.004
50,93.600,229.827,0.020,5.766,9.825,477.194,950.450,965.314,1008.983,1018.496,0.004
55,63.800,254.514,0.004,5.783,9.366,476.099,967.464,982.416,1028.662,1030.892,0.004
