Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,27.200,22.852,2.293,3.257,9.366,29.540,73.240,82.113,88.197,99.280,0.044
5,26.200,23.515,2.263,3.135,12.030,37.100,70.811,77.490,95.245,102.112,0.043
10,23.400,24.719,2.288,3.087,11.012,42.388,71.268,90.564,102.644,119.350,0.040
15,19.400,24.660,2.269,3.049,11.266,34.068,78.912,88.695,102.388,102.388,0.041
20,19.000,25.768,2.347,3.044,14.595,41.659,72.707,77.354,102.657,102.657,0.039
25,26.000,26.687,2.245,3.191,15.019,45.385,62.199,78.846,98.316,129.002,0.037
30,26.400,26.540,2.309,3.055,9.843,48.436,76.253,81.685,95.035,98.284,0.038
35,25.600,24.428,2.284,3.048,11.514,36.305,71.967,80.320,102.588,126.755,0.041
40,21.200,33.759,2.300,3.156,31.023,58.405,79.837,92.673,97.651,99.744,0.030
45,24.400,23.929,2.180,2.931,3.760,37.268,71.629,95.566,103.485,103.743,0.042
50,20.000,28.816,2.283,3.221,12.858,38.721,64.144,119.765,195.085,195.085,0.035
55,25.600,27.321,2.341,3.229,17.048,47.731,71.058,94.089,124.026,124.192,0.037
