Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,75.000,100.590,8.978,37.990,101.904,122.956,206.055,216.020,289.606,290.485,0.010
5,83.000,94.024,9.885,47.450,98.401,116.631,177.302,204.989,282.490,320.331,0.011
10,69.200,96.605,11.264,19.070,99.306,118.531,204.289,221.506,314.023,354.960,0.010
15,63.600,136.096,13.390,47.776,109.405,172.498,224.103,393.556,1071.636,1526.799,0.007
20,60.000,103.971,13.173,25.711,81.335,121.943,224.357,319.433,476.874,500.009,0.010
25,91.200,88.979,13.710,27.509,90.960,118.174,161.538,212.901,272.563,328.269,0.011
30,77.400,97.702,15.133,26.908,104.156,122.866,192.244,212.359,234.001,316.747,0.010
35,87.200,88.759,14.599,24.216,92.277,116.570,188.440,215.838,242.560,275.500,0.011
40,72.600,105.569,16.412,28.607,101.655,122.693,216.248,224.157,402.555,425.138,0.009
45,76.000,95.430,16.838,28.387,95.052,123.076,209.550,228.492,296.353,304.631,0.010
50,63.200,133.633,17.535,60.272,108.022,179.640,239.852,284.304,626.571,808.464,0.007
55,79.600,106.181,17.862,31.016,109.188,131.406,209.212,221.422,302.462,423.869,0.009
