Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,565.000,35.885,1.912,2.948,3.466,57.229,106.582,168.661,287.594,779.158,0.028
5,542.200,36.681,1.849,2.879,3.510,65.209,107.415,159.731,257.198,472.240,0.027
10,484.600,41.571,1.858,2.859,3.444,52.047,113.708,197.260,385.765,620.763,0.024
15,427.200,53.274,1.865,2.802,3.416,66.279,139.812,214.676,551.377,1604.832,0.019
20,364.800,47.421,1.908,2.836,3.575,52.483,116.740,215.215,495.190,1218.549,0.021
25,535.800,37.190,1.676,2.836,3.521,57.431,112.197,151.668,297.666,528.147,0.027
30,522.800,37.777,1.525,2.808,3.378,69.303,113.671,172.281,279.857,570.547,0.026
35,542.600,37.030,1.749,2.833,3.405,55.809,104.333,161.871,292.866,570.885,0.027
40,474.200,42.271,1.887,2.879,3.513,66.306,115.234,184.866,374.079,678.286,0.024
45,521.600,38.380,1.751,2.839,3.438,48.703,114.836,177.909,357.426,543.989,0.026
50,405.400,49.395,1.902,2.889,3.664,57.614,136.973,224.331,527.056,808.464,0.020
55,529.800,36.571,2.023,2.858,3.514,52.033,117.930,167.277,253.021,423.869,0.027
