Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,31.600,23.844,3.813,5.388,6.104,7.372,36.559,207.288,210.960,211.511,0.042
5,28.000,5.983,3.600,5.083,5.688,6.908,8.043,8.379,8.694,8.830,0.167
10,30.400,5.727,3.442,5.021,5.682,6.338,6.862,7.365,8.386,8.401,0.175
15,24.800,6.065,3.576,5.275,6.025,6.993,7.626,8.213,8.782,9.476,0.165
20,36.000,5.748,3.482,4.989,5.537,6.068,6.805,7.467,16.809,19.794,0.174
25,37.000,5.842,3.350,5.228,5.804,6.497,7.068,7.379,8.022,11.473,0.171
30,29.000,6.175,3.444,5.391,6.140,7.069,7.756,7.924,8.841,9.080,0.162
35,34.600,5.917,3.394,4.940,5.734,6.537,7.241,7.909,12.610,14.321,0.169
40,31.600,6.240,3.650,5.288,6.114,6.960,7.902,8.277,9.320,22.541,0.160
45,19.800,6.226,3.717,5.303,6.010,6.899,7.606,9.180,13.552,13.552,0.161
50,24.600,6.662,3.978,5.486,6.178,6.904,8.260,8.645,12.958,53.140,0.150
55,24.400,6.249,3.522,5.273,6.106,6.818,7.821,9.640,10.300,17.105,0.160
