Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,20.400,667.718,2.326,18.705,493.909,1061.614,1999.635,2141.244,2360.298,2360.831,0.001
5,15.600,830.407,10.900,494.637,808.814,1453.217,1560.038,1569.878,1576.816,1576.816,0.001
10,17.000,654.007,5.957,478.491,593.741,953.272,964.464,971.034,994.161,994.161,0.002
15,12.800,776.599,17.127,469.075,933.086,981.386,1856.046,1897.449,1907.580,1907.580,0.001
20,20.800,498.413,6.447,23.516,475.993,543.895,1083.829,1547.505,1566.627,1575.217,0.002
25,21.200,504.304,6.165,464.237,486.652,505.341,937.430,952.904,981.262,988.066,0.002
30,15.200,695.828,6.258,480.292,918.741,941.793,956.019,960.928,974.376,974.376,0.001
35,22.200,481.290,6.013,464.251,481.003,495.291,937.556,954.688,959.972,967.316,0.002
40,20.000,608.274,5.493,467.654,520.143,962.272,983.081,987.835,991.329,991.329,0.002
45,14.000,822.240,6.170,501.175,535.656,1001.845,1944.212,1948.931,1961.624,1961.624,0.001
50,18.400,612.014,5.911,469.377,492.570,919.237,1450.639,1477.303,1478.798,1478.798,0.002
55,10.600,804.984,12.585,534.836,894.111,1002.644,1430.113,1434.463,1448.306,1448.306,0.001
