Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,8.600,47.065,8.683,10.677,16.356,61.593,109.661,247.866,254.521,254.521,0.021
5,4.200,12.043,8.352,9.074,10.844,12.021,13.439,19.927,32.015,32.015,0.083
10,7.200,14.287,8.408,9.601,11.738,18.878,24.241,28.412,29.938,29.938,0.070
15,6.000,12.611,8.631,9.976,11.055,12.978,17.936,19.289,38.151,38.151,0.079
20,10.800,11.460,7.570,9.317,10.984,12.519,14.934,16.789,21.051,21.051,0.087
25,10.200,11.453,7.360,8.876,10.108,12.138,14.083,19.395,39.401,39.401,0.087
30,7.400,11.498,7.709,9.167,10.465,13.167,17.078,19.025,19.036,19.036,0.087
35,13.400,10.406,6.636,8.118,9.373,11.277,16.655,17.535,23.056,23.056,0.096
40,8.400,11.563,6.988,8.656,10.426,13.295,15.339,20.329,31.560,31.560,0.086
45,7.200,12.161,6.900,9.507,11.089,14.651,18.698,21.601,22.255,22.255,0.082
50,9.800,12.224,7.352,8.714,10.329,13.979,19.379,23.565,32.842,32.842,0.082
55,7.800,12.242,7.546,8.801,10.225,13.632,18.085,22.754,46.270,46.270,0.082
