Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.000,1.975,0.012,0.031,0.039,0.168,10.029,10.576,11.301,11.301,0.506
5,11.400,7.503,0.028,7.874,8.588,9.224,11.429,11.924,12.117,12.117,0.133
10,9.800,8.061,0.028,8.102,9.010,10.173,10.500,10.627,10.982,10.982,0.124
15,9.400,9.455,0.025,9.244,9.974,10.941,11.149,11.611,12.148,12.148,0.106
20,14.600,9.033,0.018,8.576,10.014,10.901,11.674,14.414,19.022,19.022,0.111
25,15.200,9.385,0.005,9.282,10.424,11.382,12.048,12.566,14.678,14.678,0.107
30,11.800,10.081,3.151,8.796,10.697,12.702,13.534,13.637,13.783,13.783,0.099
35,14.800,10.739,0.029,9.776,10.739,12.288,14.516,16.055,20.553,20.553,0.093
40,14.800,10.313,0.060,8.930,10.954,11.763,13.317,14.189,21.908,21.908,0.097
45,7.600,10.670,3.656,9.767,10.985,12.357,13.418,14.390,15.429,15.429,0.094
50,11.200,26.937,0.157,8.769,9.915,11.692,13.760,16.901,974.602,974.602,0.037
55,10.000,10.895,4.035,9.351,10.959,12.972,14.511,14.746,16.506,16.506,0.092
