Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,95.400,227.943,0.004,5.101,9.374,248.524,689.402,1317.677,2148.025,2360.831,0.004
5,73.400,273.113,0.016,5.784,8.826,471.808,1070.199,1457.358,1570.472,1576.816,0.004
10,81.600,247.041,0.004,5.965,9.929,478.491,936.257,961.559,971.517,994.161,0.004
15,70.000,282.848,0.013,6.373,10.844,475.686,962.084,983.093,1899.012,1907.586,0.004
20,101.000,193.171,0.015,5.714,10.279,457.177,530.563,981.209,1551.178,1575.217,0.005
25,105.400,194.177,0.005,5.993,10.167,466.123,493.033,538.669,963.441,988.066,0.005
30,79.000,246.475,3.151,6.431,10.465,471.958,935.347,949.705,973.163,974.376,0.004
35,101.400,192.445,0.013,6.152,10.481,465.212,493.890,936.104,964.215,967.316,0.005
40,89.800,221.864,0.060,6.508,10.635,468.307,923.681,972.270,990.331,1002.390,0.005
45,61.600,322.724,3.656,6.640,12.342,505.584,989.713,1488.162,1949.226,1961.624,0.003
50,81.000,250.553,0.157,6.688,11.516,477.263,581.197,986.078,1477.905,1478.798,0.004
55,66.600,253.279,3.522,6.522,10.504,474.679,967.301,1017.455,1434.191,1448.306,0.004
