Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,11.400,382.841,0.005,0.020,28.606,545.431,1451.149,2034.207,2056.925,2056.925,0.003
5,12.000,342.146,0.004,13.739,58.445,543.754,1008.181,1114.581,1133.547,1133.547,0.003
10,10.000,502.127,0.020,30.292,487.613,984.201,1041.567,1047.773,1061.197,1061.197,0.002
15,8.000,643.253,5.000,486.088,961.401,994.870,1016.023,1016.733,1028.855,1028.855,0.002
20,8.400,604.847,0.020,478.811,521.282,982.663,1080.977,1493.522,1494.271,1494.271,0.002
25,10.400,538.251,5.174,62.744,501.892,971.063,1018.997,1053.101,1058.374,1058.374,0.002
30,5.600,620.503,5.592,490.929,543.068,1018.707,1067.401,1074.130,1611.764,1611.764,0.002
35,6.200,593.809,4.605,24.357,525.205,982.464,999.674,1025.148,1027.668,1027.668,0.002
40,4.200,747.186,5.305,493.832,504.601,1055.748,1473.310,1479.915,1485.034,1485.034,0.001
45,8.200,573.668,5.143,485.808,503.932,986.628,1050.690,1064.341,1070.780,1070.780,0.002
50,9.000,610.157,5.212,496.606,528.370,949.471,1008.641,1011.313,1021.822,1021.822,0.002
55,7.400,443.610,5.175,27.355,492.466,504.964,1026.500,1107.994,1118.930,1118.930,0.002
