Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,9.200,535.728,464.514,485.572,510.746,550.307,664.029,678.004,784.678,784.678,0.002
5,9.200,490.695,450.840,477.227,487.696,496.747,526.801,538.076,561.548,561.548,0.002
10,9.200,480.156,438.060,471.987,479.710,488.935,491.525,499.877,533.005,533.005,0.002
15,8.200,478.413,435.904,470.413,480.944,488.042,494.881,499.941,517.476,517.476,0.002
20,7.600,496.150,457.653,480.665,491.378,504.851,519.913,560.989,574.916,574.916,0.002
25,7.200,485.347,408.811,476.019,483.781,494.807,515.808,528.876,531.226,531.226,0.002
30,9.600,493.397,458.247,481.097,489.250,500.606,527.676,535.194,570.006,570.006,0.002
35,8.000,479.699,439.375,465.775,478.889,485.698,515.566,525.910,554.569,554.569,0.002
40,7.800,478.156,418.212,470.538,477.565,481.940,496.335,511.995,532.558,532.558,0.002
45,8.600,483.393,420.425,471.713,484.033,493.468,514.116,530.167,557.899,557.899,0.002
50,7.000,486.909,407.119,472.688,487.941,500.361,526.456,532.837,539.560,539.560,0.002
55,5.800,499.411,456.327,483.123,494.311,511.043,541.323,572.180,586.905,586.905,0.002
