Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,177,177.000,15,5414,16823,144666,119565,562231,731327,948288,2058157
1,70,70.000,8,5566,8906,441457,521746,2034207,2045541,2056925,2056925
2,30,30.000,51,6695,7734,155158,439337,543222,569104,988629,988629
3,153,153.000,5,5676,9181,178849,467386,542619,988962,1008862,1044687
4,103,103.000,41,5844,8654,149898,481857,545733,560514,561309,561483
5,184,184.000,4,5531,9370,123071,55818,538076,543754,559648,564808
6,207,207.000,17,6148,9663,142960,17508,500077,990152,1463323,1474096
7,54,54.000,38,6466,10378,354796,976691,1007745,1011640,1014084,1014084
8,55,55.000,3916,6284,11117,225336,487488,493604,498695,518615,518615
9,97,97.000,9,5806,8229,227616,479371,1100662,1128470,1146917,1146917
10,65,65.000,29,5859,10934,179335,483844,559053,578328,579669,579669
11,145,145.000,11,5830,9886,188963,458897,495592,1043399,1054927,1061197
12,69,69.000,4091,6427,9820,327063,561659,1019577,1021202,1029224,1029224
13,70,70.000,3645,6303,10436,247364,477622,974101,984291,991567,991567
14,81,81.000,20,6413,10192,178716,474868,493590,502652,505497,505497
15,69,69.000,39,6192,11069,294777,494881,1015700,1016705,1027871,1027871
16,107,107.000,63,6558,11349,254984,488131,977253,990387,994890,1001431
17,75,75.000,3738,6030,9429,176575,488952,508677,509641,513082,513082
18,83,83.000,29,6104,10155,248354,488441,999032,1028413,1028855,1028855
19,53,53.000,3617,5934,11495,370756,967435,981155,982434,990342,990342
20,64,64.000,22,6796,12677,307518,493856,982663,983144,983985,983985
21,100,100.000,17,6006,11330,209379,495653,516417,521846,1060626,1060626
22,141,141.000,21,5544,8008,150535,469345,534079,558213,582818,582987
23,47,47.000,20,7563,470631,454813,1063266,1073983,1074256,1080977,1080977
24,69,69.000,28,6395,10152,409258,519013,1486462,1493605,1494645,1494645
25,62,62.000,18,7063,11918,188042,478475,489870,490755,852921,852921
26,146,146.000,20,5869,9701,193809,476019,530228,1058374,1073322,1074799
27,66,66.000,3341,6162,10906,242645,488092,957265,963378,968051,968051
28,99,99.000,21,6110,9690,243684,471630,1007819,1017995,1025066,1025066
29,56,56.000,4446,7091,10970,326463,516883,1017652,1019110,1026210,1026210
30,47,47.000,5581,7373,11832,209802,483872,518546,988850,1085138,1085138
31,63,63.000,19,6000,10279,277125,538244,1067146,1074130,1078797,1078797
32,98,98.000,3383,5914,9758,295914,486198,1511367,1615734,1623959,1623959
33,80,80.000,6,6445,10004,234355,487273,1010657,1019214,1025963,1025963
34,75,75.000,20,6285,9839,202300,490799,499390,516836,543068,543068
35,58,58.000,4171,8105,17306,341262,554569,987769,990693,995000,995000
36,96,96.000,5,7121,13331,213999,498361,518270,525205,538596,538596
37,65,65.000,3799,5989,11996,317259,523213,1026551,1027651,1046941,1046941
38,38,38.000,6331,7522,484574,516567,982151,982555,983066,990186,990186
39,68,68.000,3507,6014,10294,283907,485438,956212,964137,964613,964613
40,66,66.000,26,6730,11939,436076,950566,1485034,1486693,1498488,1498488
41,64,64.000,3445,6008,9949,285790,480665,1055748,1063494,1070598,1070598
42,71,71.000,3501,6920,11729,270711,481469,971367,981700,982388,982388
43,83,83.000,20,6180,11288,176700,485199,496857,505185,515980,515980
44,74,74.000,21,6290,10488,264597,480961,965858,977382,978777,978777
45,89,89.000,3609,6285,9614,222257,446500,978010,986176,987977,987977
46,102,102.000,3574,6775,11314,272529,498518,1023232,1039658,1050690,1054559
47,71,71.000,3928,6114,11222,308964,530167,1066047,1070148,1071405,1071405
48,64,64.000,3021,5730,9730,199072,488418,504571,505958,545698,545698
49,103,103.000,3328,5764,11257,196200,487765,501636,508440,512748,517038
50,88,88.000,3905,7325,19852,232144,497236,512956,516333,536799,536799
51,82,82.000,3820,6057,9654,249277,489978,1014226,1018217,1026245,1026245
52,57,57.000,3906,6723,19162,335700,933523,943457,949471,967428,967428
53,88,88.000,3633,6491,13946,243776,528530,536880,543780,554204,554204
54,82,82.000,3637,5783,10019,245441,490176,1011282,1020388,1038850,1038850
55,57,57.000,3597,6483,11545,359594,603300,1107994,1112593,1151231,1151231
56,55,55.000,4178,6818,11814,374809,1010770,1030166,1039065,1039850,1039850
57,71,71.000,3798,6257,10271,175948,474404,503818,504964,549416,549416
58,136,136.000,3534,5800,9556,151805,481202,501990,508477,519806,520840
59,45,45.000,4275,5619,7268,54409,13595,36184,486883,589275,589275
