Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
6,UpdateReservation,1745346263.926235,286,5,1
2,FindFlights,1745346263.926287,659115,4,1
1,DeleteReservation,1745346263.926428,96,10,1
2,FindFlights,1745346263.926454,651842,3,1
3,FindOpenSeats,1745346263.926548,207157,6,1
1,DeleteReservation,1745346263.926720,23,0,1
3,FindOpenSeats,1745346263.926755,204722,19,1
2,FindFlights,1745346263.926761,612060,5,1
3,FindOpenSeats,1745346263.926767,202392,0,1
5,UpdateCustomer,1745346263.926778,237430,10,1
4,NewReservation,1745346263.926846,1958637,1,1
2,FindFlights,1745346263.926962,658980,11,1
6,UpdateReservation,1745346263.927074,87,9,1
2,FindFlights,1745346263.927185,651360,9,1
3,FindOpenSeats,1745346263.927210,202446,17,1
5,UpdateCustomer,1745346263.927338,236646,7,1
3,FindOpenSeats,1745346263.927523,202314,18,1
3,FindOpenSeats,1745346263.927586,207851,2,1
4,NewReservation,1745346263.927728,2133,16,1
4,NewReservation,1745346263.927766,1958726,15,1
1,DeleteReservation,1745346263.927918,21,14,1
5,UpdateCustomer,1745346263.927958,244985,14,1
4,NewReservation,1745346263.928019,1957173,8,1
5,UpdateCustomer,1745346263.928087,242863,12,1
6,UpdateReservation,1745346263.929886,104,16,1
3,FindOpenSeats,1745346263.930015,202713,16,1
5,UpdateCustomer,1745346264.129213,111777,0,1
6,UpdateReservation,1745346264.129456,54,13,1
3,FindOpenSeats,1745346264.129540,5579,13,1
2,FindFlights,1745346264.129694,662446,17,1
3,FindOpenSeats,1745346264.129865,5759,18,1
6,UpdateReservation,1745346264.131510,40,19,1
3,FindOpenSeats,1745346264.131571,4778,19,1
3,FindOpenSeats,1745346264.132748,4911,16,1
3,FindOpenSeats,1745346264.133729,6644,6,1
1,DeleteReservation,1745346264.135138,19,13,1
3,FindOpenSeats,1745346264.135166,5732,13,1
3,FindOpenSeats,1745346264.135465,5824,2,1
3,FindOpenSeats,1745346264.135647,5481,18,1
3,FindOpenSeats,1745346264.136368,5482,19,1
3,FindOpenSeats,1745346264.137682,4286,16,1
4,NewReservation,1745346264.140396,1744578,6,1
5,UpdateCustomer,1745346264.140928,113037,13,1
2,FindFlights,1745346264.141151,597926,18,1
3,FindOpenSeats,1745346264.141316,6026,2,1
3,FindOpenSeats,1745346264.141870,6053,19,1
2,FindFlights,1745346264.141994,590451,16,1
3,FindOpenSeats,1745346264.147368,6105,2,1
4,NewReservation,1745346264.147947,1738339,19,1
4,NewReservation,1745346264.153500,1733264,2,1
4,NewReservation,1745346264.164025,1126,7,1
1,DeleteReservation,1745346264.164242,20,10,1
4,NewReservation,1745346264.164273,1702153,10,1
4,NewReservation,1745346264.165168,441,7,1
6,UpdateReservation,1745346264.165630,35,7,1
6,UpdateReservation,1745346264.165705,38,7,1
1,DeleteReservation,1745346264.165763,13,7,1
5,UpdateCustomer,1745346264.165790,11295,7,1
3,FindOpenSeats,1745346264.171007,88463,12,1
5,UpdateCustomer,1745346264.172966,10182,14,1
3,FindOpenSeats,1745346264.177112,93002,7,1
3,FindOpenSeats,1745346264.183173,87668,14,1
6,UpdateReservation,1745346264.241086,47,0,1
2,FindFlights,1745346264.241146,588574,0,1
3,FindOpenSeats,1745346264.254022,6718,13,1
4,NewReservation,1745346264.259513,1606712,12,1
6,UpdateReservation,1745346264.260762,41,13,1
6,UpdateReservation,1745346264.260822,84,13,1
3,FindOpenSeats,1745346264.260925,6589,13,1
6,UpdateReservation,1745346264.267539,81,13,1
1,DeleteReservation,1745346264.267636,11,13,1
4,NewReservation,1745346264.267660,1598681,13,1
4,NewReservation,1745346264.270141,1595956,7,1
5,UpdateCustomer,1745346264.270890,18309,14,1
3,FindOpenSeats,1745346264.289239,7151,14,1
3,FindOpenSeats,1745346264.296413,4957,14,1
4,NewReservation,1745346264.301405,1563921,14,1
1,DeleteReservation,1745346264.538910,42,5,1
3,FindOpenSeats,1745346264.538963,166844,5,1
3,FindOpenSeats,1745346264.578357,162441,3,1
1,DeleteReservation,1745346264.578618,24,9,1
3,FindOpenSeats,1745346264.578653,160953,9,1
6,UpdateReservation,1745346264.585427,78,4,1
3,FindOpenSeats,1745346264.585522,163385,4,1
5,UpdateCustomer,1745346264.585967,160999,11,1
1,DeleteReservation,1745346264.705863,26,5,1
5,UpdateCustomer,1745346264.705904,100487,5,1
4,NewReservation,1745346264.732500,1153291,16,1
3,FindOpenSeats,1745346264.739103,6881,18,1
4,NewReservation,1745346264.739649,1145429,9,1
4,NewReservation,1745346264.740823,1146466,3,1
3,FindOpenSeats,1745346264.746007,5416,18,1
3,FindOpenSeats,1745346264.746994,61306,11,1
4,NewReservation,1745346264.748944,1136313,4,1
1,DeleteReservation,1745346264.751447,16,18,1
2,FindFlights,1745346264.751477,480558,18,1
3,FindOpenSeats,1745346264.792184,7633,17,1
6,UpdateReservation,1745346264.799852,47,17,1
5,UpdateCustomer,1745346264.799913,79558,17,1
3,FindOpenSeats,1745346264.806467,5728,5,1
3,FindOpenSeats,1745346264.808334,7104,11,1
4,NewReservation,1745346264.812218,1055000,5,1
1,DeleteReservation,1745346264.815462,15,11,1
1,DeleteReservation,1745346264.815492,6,11,1
3,FindOpenSeats,1745346264.815508,6963,11,1
6,UpdateReservation,1745346264.822491,26,11,1
1,DeleteReservation,1745346264.822528,7,11,1
3,FindOpenSeats,1745346264.822544,6583,11,1
3,FindOpenSeats,1745346264.829151,7251,11,1
3,FindOpenSeats,1745346264.829746,7162,0,1
3,FindOpenSeats,1745346264.836427,5362,11,1
2,FindFlights,1745346264.836940,464141,0,1
4,NewReservation,1745346264.841812,1025370,11,1
3,FindOpenSeats,1745346264.879511,8344,17,1
3,FindOpenSeats,1745346264.887892,8453,17,1
6,UpdateReservation,1745346264.896383,69,17,1
3,FindOpenSeats,1745346264.896470,8141,17,1
2,FindFlights,1745346264.904646,467899,17,1
4,NewReservation,1745346265.232120,654510,18,1
2,FindFlights,1745346265.301156,502659,0,1
3,FindOpenSeats,1745346265.372618,6735,17,1
1,DeleteReservation,1745346265.379374,17,17,1
3,FindOpenSeats,1745346265.379401,7653,17,1
2,FindFlights,1745346265.387085,465890,17,1
4,NewReservation,1745346265.803897,63406,0,1
