Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
3,ScanRecord,1744833724.880418,123225,8,1
1,ReadRecord,1744833724.880421,95059,1,1
5,DeleteRecord,1744833724.880467,133529,0,1
2,InsertRecord,1744833724.880506,35959,15,1
1,ReadRecord,1744833724.880516,91409,3,1
1,ReadRecord,1744833724.880532,91449,13,1
1,ReadRecord,1744833724.880595,91307,14,1
5,DeleteRecord,1744833724.880621,135951,17,1
1,ReadRecord,1744833724.880730,91149,2,1
1,ReadRecord,1744833724.880750,91348,19,1
1,ReadRecord,1744833724.880798,92346,9,1
1,ReadRecord,1744833724.880818,94457,16,1
1,ReadRecord,1744833724.880833,94549,18,1
1,ReadRecord,1744833724.880904,93458,12,1
1,ReadRecord,1744833724.880999,90693,11,1
5,DeleteRecord,1744833724.881204,132382,4,1
5,DeleteRecord,1744833724.881272,134826,10,1
3,ScanRecord,1744833724.881319,115604,7,1
3,ScanRecord,1744833724.881489,101455,5,1
1,ReadRecord,1744833724.881525,94210,6,1
3,ScanRecord,1744833724.916628,67521,15,1
1,ReadRecord,1744833724.971748,6018,11,1
3,ScanRecord,1744833724.971921,22023,2,1
4,UpdateRecord,1744833724.971952,42190,14,1
5,DeleteRecord,1744833724.971962,41805,3,1
4,UpdateRecord,1744833724.972014,42515,13,1
4,UpdateRecord,1744833724.972135,42568,19,1
1,ReadRecord,1744833724.973167,4636,9,1
1,ReadRecord,1744833724.974387,3246,12,1
1,ReadRecord,1744833724.975320,4117,16,1
1,ReadRecord,1744833724.975407,4039,18,1
3,ScanRecord,1744833724.975514,25736,1,1
1,ReadRecord,1744833724.975764,3486,6,1
3,ScanRecord,1744833724.977659,33613,12,1
5,DeleteRecord,1744833724.977800,37002,11,1
5,DeleteRecord,1744833724.977834,36679,9,1
5,DeleteRecord,1744833724.979276,35776,6,1
6,ReadModifyWriteRecord,1744833724.979495,48037,18,1
1,ReadRecord,1744833724.979499,3184,16,1
4,UpdateRecord,1744833724.982713,32295,16,1
3,ScanRecord,1744833724.982984,22388,5,1
1,ReadRecord,1744833724.984186,9840,15,1
6,ReadModifyWriteRecord,1744833724.993974,34472,2,1
4,UpdateRecord,1744833724.994065,21559,15,1
1,ReadRecord,1744833724.996955,10586,7,1
1,ReadRecord,1744833725.001273,3271,1,1
1,ReadRecord,1744833725.003676,9992,8,1
6,ReadModifyWriteRecord,1744833725.004564,26804,1,1
2,InsertRecord,1744833725.005395,10550,5,1
1,ReadRecord,1744833725.007566,3619,7,1
5,DeleteRecord,1744833725.011205,8765,7,1
5,DeleteRecord,1744833725.011294,9522,12,1
1,ReadRecord,1744833725.013608,4630,4,1
1,ReadRecord,1744833725.013695,3658,8,1
3,ScanRecord,1744833725.013790,47610,3,1
1,ReadRecord,1744833725.014043,4166,0,1
1,ReadRecord,1744833725.014162,3175,14,1
1,ReadRecord,1744833725.014536,3282,9,1
1,ReadRecord,1744833725.014556,3417,13,1
6,ReadModifyWriteRecord,1744833725.014725,5888,19,1
1,ReadRecord,1744833725.014823,3242,11,1
6,ReadModifyWriteRecord,1744833725.015028,6180,16,1
3,ScanRecord,1744833725.015104,79384,6,1
3,ScanRecord,1744833725.015660,69421,15,1
3,ScanRecord,1744833725.015966,40500,5,1
1,ReadRecord,1744833725.016118,3919,10,1
1,ReadRecord,1744833725.016603,15548,17,1
1,ReadRecord,1744833725.017357,3441,14,1
4,UpdateRecord,1744833725.017383,13623,8,1
3,ScanRecord,1744833725.017847,76543,9,1
1,ReadRecord,1744833725.017997,3395,13,1
1,ReadRecord,1744833725.018095,3143,11,1
4,UpdateRecord,1744833725.018267,9269,4,1
1,ReadRecord,1744833725.018269,7348,0,1
1,ReadRecord,1744833725.019994,5637,7,1
5,DeleteRecord,1744833725.020060,13651,10,1
3,ScanRecord,1744833725.020635,67334,19,1
4,UpdateRecord,1744833725.020823,6635,14,1
4,UpdateRecord,1744833725.020841,12866,12,1
1,ReadRecord,1744833725.021239,6157,16,1
1,ReadRecord,1744833725.021271,6153,11,1
1,ReadRecord,1744833725.021413,6028,13,1
5,DeleteRecord,1744833725.025873,3701,7,1
3,ScanRecord,1744833725.025874,34316,0,1
4,UpdateRecord,1744833725.027425,3504,16,1
6,ReadModifyWriteRecord,1744833725.027507,8548,11,1
1,ReadRecord,1744833725.027540,3258,14,1
1,ReadRecord,1744833725.027546,4134,13,1
1,ReadRecord,1744833725.027561,3353,18,1
5,DeleteRecord,1744833725.027585,3186,4,1
1,ReadRecord,1744833725.028494,5761,2,1
3,ScanRecord,1744833725.029600,63472,7,1
1,ReadRecord,1744833725.030797,3324,4,1
1,ReadRecord,1744833725.030828,3348,14,1
3,ScanRecord,1744833725.030942,62301,18,1
3,ScanRecord,1744833725.030965,63626,16,1
1,ReadRecord,1744833725.031088,3016,8,1
1,ReadRecord,1744833725.031395,70733,1,1
1,ReadRecord,1744833725.031707,5351,13,1
1,ReadRecord,1744833725.032202,2977,17,1
1,ReadRecord,1744833725.033769,3185,10,1
