Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,54.000,49.829,1.597,3.281,17.203,69.586,127.229,252.191,327.032,396.290,0.020
5,38.200,48.166,1.919,3.369,15.594,78.159,101.168,205.018,400.429,486.109,0.021
10,62.000,43.615,1.760,2.909,13.403,54.966,102.311,201.591,372.156,407.468,0.023
15,48.200,44.380,1.955,2.958,12.231,54.959,98.108,219.115,434.835,701.619,0.023
20,60.600,33.213,2.000,2.700,8.458,47.920,90.306,103.724,299.715,398.485,0.030
25,56.800,53.271,1.946,2.827,22.812,64.268,149.838,233.329,404.934,616.280,0.019
30,50.200,54.062,1.750,2.820,20.433,51.627,82.463,283.414,578.208,692.724,0.018
35,59.000,43.604,1.783,2.847,25.058,51.145,97.243,180.255,422.166,485.963,0.023
40,48.200,42.125,2.062,3.073,21.653,48.454,96.953,119.271,396.651,532.316,0.024
45,57.400,39.746,1.763,2.820,11.633,53.965,100.823,176.104,357.810,400.440,0.025
50,56.200,46.356,1.872,2.964,23.593,70.838,101.540,182.893,288.461,299.685,0.022
55,45.600,50.702,1.900,2.792,22.700,62.842,103.617,266.904,392.015,467.380,0.020
