Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,25.400,24.305,2.434,3.353,8.251,38.805,78.326,85.772,102.734,102.877,0.041
5,23.000,26.922,2.530,3.296,8.062,52.144,80.939,90.569,101.567,102.161,0.037
10,27.200,21.250,2.356,3.114,8.109,36.410,59.517,72.868,102.834,104.321,0.047
15,22.400,20.942,2.542,3.197,6.734,29.612,61.600,84.845,99.839,101.554,0.048
20,25.800,26.256,2.388,3.101,7.165,47.894,74.282,80.325,105.989,116.415,0.038
25,29.200,25.102,2.355,3.319,20.742,42.579,62.012,66.997,96.783,102.339,0.040
30,21.200,22.554,2.256,3.125,4.145,36.546,64.725,78.459,93.618,98.269,0.044
35,32.000,29.185,2.499,3.379,23.597,50.024,70.239,77.706,97.747,98.676,0.034
40,24.400,25.974,2.289,3.405,21.320,40.895,62.373,79.006,90.988,94.377,0.038
45,31.400,25.402,2.357,3.296,15.964,42.518,67.284,76.284,101.933,106.420,0.039
50,28.000,29.414,2.480,3.130,16.636,52.904,75.277,97.946,101.231,104.535,0.034
55,19.400,23.492,2.603,3.057,4.045,42.813,61.413,74.110,104.670,104.670,0.043
