Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,283.800,11.827,2.032,2.832,3.118,3.480,23.280,90.719,104.282,279.222,0.085
5,200.600,13.228,2.103,2.800,3.086,3.398,4.172,93.154,193.825,604.606,0.076
10,287.400,8.842,2.010,2.791,3.097,3.423,3.980,78.987,101.210,202.103,0.113
15,245.400,11.843,1.943,2.755,3.038,3.407,4.139,87.734,180.000,459.076,0.084
20,279.000,9.463,1.843,2.745,2.991,3.294,3.853,69.582,126.648,206.071,0.106
25,262.200,8.567,1.879,2.732,2.998,3.311,3.790,43.928,102.406,390.360,0.117
30,244.800,10.221,1.932,2.725,2.997,3.383,3.985,83.184,151.279,209.157,0.098
35,266.000,9.228,1.916,2.725,3.017,3.352,3.851,65.873,104.995,307.062,0.108
40,256.600,9.789,1.954,2.768,3.045,3.434,4.031,65.561,174.531,379.995,0.102
45,310.600,9.288,1.734,2.748,3.010,3.326,3.803,76.359,106.883,201.980,0.108
50,284.800,7.313,1.936,2.703,2.950,3.274,3.730,13.443,101.306,203.786,0.137
55,221.400,11.141,2.003,2.774,3.036,3.422,4.036,80.108,174.649,411.358,0.090
