Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,83.600,84.642,8.405,23.043,89.611,113.468,162.701,210.772,290.680,312.100,0.012
5,55.000,150.910,12.573,99.381,113.744,199.496,214.621,424.072,619.749,693.661,0.007
10,80.400,99.619,11.321,21.963,102.127,125.133,202.645,216.714,280.490,287.351,0.010
15,65.000,117.284,12.640,55.095,105.129,173.419,216.262,269.664,418.674,469.556,0.009
20,84.400,103.362,13.507,57.269,102.019,122.453,206.474,220.962,264.123,303.370,0.010
25,84.200,96.945,14.670,22.378,91.105,119.072,203.292,231.071,331.806,416.025,0.010
30,66.800,103.213,14.934,57.607,105.360,124.186,181.969,226.552,315.755,322.361,0.010
35,83.600,97.015,15.657,25.359,95.613,120.902,186.607,220.460,391.085,422.872,0.010
40,78.000,104.829,16.668,33.344,91.973,123.352,214.635,316.761,395.907,424.752,0.010
45,91.400,90.967,17.399,35.605,87.162,120.008,169.984,209.652,300.140,326.409,0.011
50,90.200,90.915,18.320,24.612,98.380,122.564,179.657,215.888,239.597,259.726,0.011
55,62.400,130.366,18.349,56.455,115.890,201.749,233.494,306.428,422.399,436.291,0.008
