Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,56.200,40.018,2.197,3.385,15.553,59.403,90.862,187.919,274.358,299.898,0.025
5,38.000,46.200,2.162,3.325,16.177,80.857,99.060,188.234,273.321,297.694,0.022
10,56.600,39.139,1.994,3.105,13.133,55.862,92.698,148.976,325.442,502.442,0.026
15,49.400,50.206,1.949,3.084,11.148,60.190,115.864,225.136,491.639,658.344,0.020
20,54.600,42.034,2.111,3.003,17.857,62.923,98.363,182.109,301.999,409.266,0.024
25,50.800,55.832,1.941,3.156,23.563,54.291,162.695,296.474,403.011,598.498,0.018
30,49.200,52.967,1.983,2.825,9.172,55.805,124.877,289.222,592.587,635.149,0.019
35,60.600,42.407,2.059,3.000,22.069,57.842,87.169,174.146,284.805,575.156,0.024
40,51.600,46.799,1.914,3.174,14.577,49.236,102.461,191.393,545.924,607.890,0.021
45,59.000,35.009,1.659,2.834,9.852,44.541,83.635,175.891,296.336,344.306,0.029
50,57.800,46.901,1.987,3.064,28.588,70.531,111.795,166.821,248.533,302.953,0.021
55,40.800,41.987,2.152,2.920,22.158,53.213,93.109,181.729,304.080,441.149,0.024
