Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,562.800,36.170,1.597,3.021,3.771,63.626,102.598,137.506,281.656,469.960,0.028
5,397.800,50.157,1.919,2.987,3.664,81.418,155.573,205.592,549.991,703.316,0.020
10,573.000,35.084,1.760,2.954,3.527,46.647,103.862,157.488,292.815,577.259,0.029
15,481.400,41.459,1.943,2.933,3.516,60.427,112.007,198.664,397.124,702.722,0.024
20,562.200,35.248,1.843,2.883,3.436,56.233,105.909,169.691,228.820,487.512,0.028
25,539.200,38.134,1.879,2.888,3.559,44.898,109.832,181.154,362.909,675.295,0.026
30,486.800,39.655,1.750,2.856,3.481,53.349,111.173,166.420,443.467,700.759,0.025
35,555.200,37.358,1.783,2.912,3.586,54.713,107.641,164.165,299.541,672.493,0.027
40,505.400,38.606,1.914,2.945,3.631,48.366,111.073,174.693,380.199,696.838,0.026
45,610.200,32.318,1.659,2.879,3.425,44.334,101.449,131.164,240.474,489.538,0.031
50,571.400,35.560,1.872,2.856,3.479,61.306,113.892,142.074,231.601,471.140,0.028
55,437.400,42.771,1.900,2.909,3.528,57.901,122.582,215.648,352.633,499.582,0.023
