Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,60.800,73.647,3.890,5.225,60.245,91.446,188.671,282.804,397.393,779.158,0.014
5,53.200,64.612,3.594,4.999,62.527,91.700,158.895,200.107,293.346,472.240,0.015
10,45.600,92.574,3.607,5.088,70.003,103.978,250.739,367.099,585.713,620.763,0.011
15,40.200,100.681,3.590,4.853,64.620,101.608,201.693,368.913,745.079,1604.832,0.010
20,38.000,109.376,3.769,5.260,49.179,99.582,323.058,461.417,1218.309,1218.549,0.009
25,53.200,72.711,3.467,5.038,63.549,96.872,171.106,225.821,455.855,528.147,0.014
30,57.400,74.019,3.529,4.917,70.523,94.706,182.905,248.243,378.246,470.153,0.014
35,57.200,62.719,3.714,5.157,51.367,81.415,130.854,192.693,400.729,567.649,0.016
40,44.600,92.101,3.567,5.019,71.342,105.600,200.346,364.012,505.026,678.286,0.011
45,49.600,74.432,3.480,4.871,32.550,92.409,217.956,328.150,428.050,494.099,0.013
50,36.800,91.309,3.619,5.249,57.244,95.942,219.820,430.959,645.614,708.075,0.011
55,54.800,64.473,3.630,5.001,50.893,90.128,175.240,199.215,330.690,403.079,0.016
