Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,642,642.000,2204,3120,3877,33636,52469,107074,133495,199115,322175
1,467,467.000,2079,3020,3488,41735,50002,174409,211315,300447,381383
2,573,573.000,2127,2922,3375,40315,64572,105905,192301,397393,779158
3,547,547.000,1912,2801,3223,31750,38955,100317,123843,282804,501095
4,596,596.000,2034,2910,3440,33259,71702,103101,120360,201817,273210
5,575,575.000,2171,2935,3526,35091,61944,105598,124067,257820,287683
6,658,658.000,1849,2829,3470,29290,49493,96495,109920,182355,320331
7,555,555.000,1922,2843,3383,36145,62542,113757,165503,216792,241187
8,433,433.000,1966,2903,4226,47346,80334,117825,189888,408558,472240
9,490,490.000,1861,2886,3570,39653,76832,116897,172024,282490,301209
10,631,631.000,1858,2854,3484,32272,45242,102191,128314,201672,265850
11,571,571.000,1909,2771,3265,36235,45839,111797,167131,304736,395861
12,420,420.000,2114,2847,3553,45890,48556,166838,281953,385765,430506
13,415,415.000,2082,2871,3523,52205,83347,197234,216385,300995,480440
14,386,386.000,2221,2957,3647,48531,48547,109255,121890,604707,620763
15,470,470.000,1868,2731,3303,42071,57545,115351,200047,442936,573468
16,575,575.000,1898,2743,3219,44173,43932,106593,188360,557444,776427
17,224,224.000,2160,3127,3932,63589,92234,189291,226416,459740,736489
18,462,462.000,2031,2813,3642,44376,62994,160785,211968,283915,375106
19,405,405.000,1865,2868,3446,83639,82212,166342,251393,1532306,1604832
20,26,26.000,2651,3399,528845,509158,1141366,1218255,1218309,1218549,1218549
21,407,407.000,2127,2846,3504,30311,38569,108604,137808,176944,533308
22,517,517.000,1908,2795,3415,38138,39110,98004,135959,455487,500009
23,380,380.000,1990,2880,4009,52612,75025,176117,274261,400186,495190
24,494,494.000,1960,2836,3539,42938,53880,118759,221368,424927,500811
25,374,374.000,2013,3054,4099,50539,78017,157771,259516,348486,433828
26,495,495.000,1908,2797,4135,41481,66908,116791,188016,285405,455855
27,577,577.000,2033,2771,3361,33696,44206,97058,120602,424816,528147
28,643,643.000,1959,2822,3513,31453,60710,104102,125407,175629,201303
29,590,590.000,1676,2804,3460,34797,55156,112100,136862,217895,328269
30,504,504.000,2051,2768,3306,37161,73047,103756,127014,213141,375101
31,543,543.000,2062,2804,3341,36932,70918,114447,163108,212306,275462
32,598,598.000,2005,2755,3280,35059,55718,109880,140616,302065,570547
33,511,511.000,1842,2923,3528,42062,67068,125213,200580,304279,470153
34,458,458.000,1525,2805,3497,38221,57741,115621,173727,248138,323702
35,550,550.000,1934,2798,3315,37550,59157,114558,192318,227236,342748
36,454,454.000,1963,2825,4582,43344,74521,118121,197106,294060,400623
37,680,680.000,1749,2825,3173,33359,32508,99851,167539,380384,570885
38,492,492.000,1936,2896,3470,36644,49391,100834,122725,444990,538456
39,537,537.000,2064,2861,3639,36157,72811,103226,120596,271376,345575
40,623,623.000,1887,2900,3487,33968,57018,100979,122799,276167,364012
41,353,353.000,1905,2882,3711,56663,92979,176363,219974,470726,505026
42,356,356.000,2114,2919,3583,58180,73892,196521,350729,578397,678286
43,433,433.000,1986,2906,3644,40505,76859,112686,158955,267756,405448
44,606,606.000,1903,2825,3337,34339,47741,106269,157872,218846,281276
45,484,484.000,2022,2896,3989,44025,71739,121873,167966,320714,420148
46,439,439.000,2020,2963,3399,42922,50765,117834,230610,384674,494099
47,535,535.000,1756,2778,3304,38932,52307,110747,163491,407338,543989
48,531,531.000,1900,2831,3447,34987,40370,103925,133274,371704,439034
49,619,619.000,1751,2822,3335,33176,32279,114342,148173,296353,403916
50,523,523.000,1915,2753,3219,41210,42385,119831,213724,284304,808464
51,254,254.000,2053,3056,4748,72193,60208,198376,524078,617912,769710
52,494,494.000,1902,2885,3586,43025,51625,111030,238131,450970,496135
53,393,393.000,2143,3036,3748,53671,46380,128642,327004,580396,708075
54,363,363.000,2008,3001,3732,49270,80055,163612,202401,360995,463188
55,563,563.000,2023,2848,3615,34707,48853,111681,135940,254114,406235
56,576,576.000,2043,2906,3733,35922,56226,116763,133008,196948,383184
57,354,354.000,2097,2933,3620,55363,88489,204380,221360,304929,423869
58,639,639.000,2026,2799,3322,30370,31575,116533,167277,227705,266975
59,517,517.000,2208,2848,3571,34118,63826,103105,122946,204269,251236
